source_district,school,school_cleaned,my_county,confidence
Nelson,Rotokohu,Rotokohu,Buller County,Low
Nelson,Sergeant's Hill,Sergeants Hill,Inangahua County,Medium
Nelson,Sherry River,Sherry River,Waimea County,High
Nelson,Six-mile,Six-mile,Buller County,Medium
Nelson,Summerlea,Summerlea,Inangahua County,Medium
Nelson,Takaka Central,Takaka,Collingwood County,High
Nelson,Takaka Lower District High School,Takaka Lower,Collingwood County,High
Nelson,Takaka Upper,Takaka Upper,Collingwood County,High
Nelson,Tapawera,Tapawera,Waimea County,High
Nelson,Tauranga Bay,Tauranga Bay,Buller County,Medium
Nelson,Te Arowhenua,Te Arowhenua,Nelson County,Low
Nelson,Tophouse,Tophouse,Nelson County,Medium
Nelson,Tuikea,Tuikea,Collingwood County,Medium
Nelson,Tutaki,Tutaki,Buller County,Medium
