flag,source_district,school,school_cleaned,my_county,confidence,matched_sc_name,sc_counties,match_ratio
MISMATCH,Auckland,Tomarata,Tomarata,Rodney County,Medium,tarata,Clifton,0.857
MISMATCH,Auckland,Waipapa,Waipapa,Bay of Islands County,Medium,waipara,Waipara,0.857
MISMATCH,Auckland,Waipuna,Waipuna,Bay of Islands County,Medium,waituna,Waimate | Southland,0.857
MISMATCH,Auckland,Wairoa South,Wairoa South,Franklin County,Medium,waiwera south,Clutha,0.88
MISMATCH,Auckland,Waitekauri,Waitekauri,Ohinemuri County,Medium,Waitekauri,Waitomo,1.0
MISMATCH,Auckland,Waitetuna,Waitetuna,Raglan County,Medium,waituna,Waimate | Southland,0.875
MISMATCH,Auckland,Whangaparoa,Whangaparoa,Rodney County,Medium,whangaroa,Whangaroa,0.9
MISMATCH,Canterbury,Awatuna,Awatuna,Westland County,Medium,Awatuna,Egmont,1.0
MISMATCH,Canterbury,Bluespur,Bluespur,Westland County,Medium,blue spur,Tuapeka,0.941
MISMATCH,Canterbury,Kirikiri,Kirikiri,Eyre County,Medium,makirikiri,Wanganui,0.889
MISMATCH,Canterbury,Monavale,Monavale,Geraldine County,Medium,Monavale,Waipa,1.0
MISMATCH,Canterbury,Oruruhia,Oruruhia,Rangiora County,Medium,ouruhia,Waimairi,0.933
MISMATCH,Canterbury,Weedon's,Weedons,Paparua County,Medium,weedon's,Panama,0.933
MISMATCH,HawkesBay,Hatuma,Hatuma,Waipawa County,Medium,Hatuma,Waipukurau,1.0
MISMATCH,HawkesBay,Matahiwi,Matahiwi,Dannevirke County,Medium,Matahiwi,Masterton,1.0
MISMATCH,HawkesBay,Whakarau,Whakarau,Cook County,Medium,whakapirau,Otamatea,0.889
MISMATCH,Nelson,Kaituna,Kaituna,Waimea County,Medium,Kaituna,Marlborough,1.0
MISMATCH,Nelson,Matariki,Matariki,Collingwood County,Medium,tariki,Taranaki,0.857
MISMATCH,Otago,Hillend,Hillend,Tuapeka County,Medium,Hillend,Bruce,1.0
MISMATCH,Otago,Lowburn,Lowburn,Vincent County,Medium,loburn,Ashley,0.923
MISMATCH,Southland,Clifton,Clifton,Southland County,Medium,Clifton,Takaka,1.0
MISMATCH,Taranaki,Carrington,Carrington,Taranaki County,Medium,Carrington,Wairarapa South,1.0
MISMATCH,Taranaki,Matau,Matau,Clifton County,Medium,matapu,Eltham,0.909
MISMATCH,Wellington,Marama,Marama,Awatere County,Medium,ramarama,Franklin,0.857
MISMATCH,Wellington,Waikakaho,Waikakaho,Marlborough County,Medium,waikaka,Southland,0.875
MISMATCH,Wellington,Kaitara,Kaitara,Wairarapa South County,Medium,kaitawa,Pahiatua,0.857
MISMATCH,Wellington,Takapu,Takapu,Makara County,Medium,takapau,Waipawa,0.923
MISMATCH,Auckland,Goodwood,Goodwood,Piako County,Low,Goodwood,Waihemo,1.0
MISMATCH,Auckland,Hore Hore,Hore Hore,Whangaroa County,Low,horehore,Hobson,0.941
MISMATCH,Auckland,Kaimamaku,Kaimamaku,Hobson County,Low,waimamaku,Hokianga,0.889
MISMATCH,Auckland,Mata,Mata,Whangarei County,Low,Mata,Eltham,1.0
MISMATCH,Auckland,Orere,Orere,Franklin County,Low,korere,Waimea,0.909
MISMATCH,Auckland,Wairanga,Wairanga,Thames County,Low,kairanga,Kairanga,0.875
MISMATCH,Canterbury,Chorlton,Chorlton,Malvern County,Low,charlton,Southland,0.875
MISMATCH,Canterbury,Douglas,Douglas,Grey County,Low,Douglas,Stratford | Waimate,1.0
MISMATCH,Canterbury,Kapua,Kapua,Westland County,Low,kapuka,Southland,0.909
MISMATCH,Canterbury,Riverside,Riverside,Westland County,Low,Riverside,Taieri,1.0
MISMATCH,Canterbury,Silverstream,Silverstream,Ashley County,Low,Silverstream,Hutt,1.0
MISMATCH,Canterbury,Tawa,Tawa,Grey County,Low,tawai,Waimate,0.889
MISMATCH,Canterbury,Te Awa,Te Awa,Westland County,Low,te kawa,West Taupo,0.923
MISMATCH,Canterbury,Te Ngawai,Te Ngawai,Geraldine County,Low,tengawai,Mackenzie,0.941
MISMATCH,Canterbury,Te Roto,Te Roto,Westland County,Low,te roti,Eltham,0.857
