,ID,Name,Latitude,Longitude,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
0,CT00001,Akaroa,-43.526945,172.632377,22,21,21,22,22,20,20,20,19,19,17,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CT00002,Akitio,-40.6,176.417,12,13,12,12,12,12,12,11,10,11,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,6,6,6,6,6,4,4,4,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,CT00003,Amuri,-42.50480809,173.0221142,20,19,19,19,19,18,17,18,17,17,15,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CT00004,Ashburton,-43.89834,171.73011,139,134,133,137,137,126,123,125,119,118,110,102,99,99,99,99,99,92,88,88,88,88,86,86,86,86,86,89,90,90,90,90,88,89,89,89,89,79,80,80,80,80,63,64,64,64,64,52,52,52,52,52,36,36,36,36,36,30,30,30,30,30,25,25,25,25,25,17,17,17,17,17,13,13,14,14,14,8,8,8,8,8,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
4,CT00005,Ashley,-43.3034,172.5914,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CT00006,Awakino,-38.65,174.633,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CT00007,Awatere,-41.88419888,173.6366844,18,18,16,17,17,17,16,16,14,14,14,13,12,12,12,12,12,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,CT00008,Bay of Islands,-35.2,174.166667,47,48,46,49,45,46,44,41,40,39,38,36,35,33,33,33,33,32,30,30,30,30,29,28,28,28,28,30,30,30,30,30,30,31,31,31,31,27,28,28,28,28,21,21,21,21,21,17,17,17,17,17,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,CT00009,Bruce,-46.116667,169.966667,51,51,51,48,54,50,49,50,47,48,47,45,44,40,40,40,40,37,33,33,33,33,32,32,32,32,32,32,32,32,32,32,35,35,35,35,35,33,33,33,33,33,28,28,28,28,28,24,24,24,24,24,17,17,17,17,17,13,13,13,14,14,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
9,CT00010,Buller,-41.813,171.793,50,56,50,52,62,52,52,48,62,48,49,49,40,36,36,36,36,39,38,38,38,38,30,30,30,31,31,37,37,37,37,37,37,37,37,37,37,39,39,39,39,39,33,33,33,33,33,24,24,24,24,24,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,11,12,12,12,12,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
10,CT00011,Castlepoint,-40.9,176.21667,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,CT00012,Cheviot,-42.81212,173.2736762,14,13,13,13,13,12,12,12,12,12,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CT00013,Clifton,-38.995833,174.233056,25,26,25,23,25,23,23,23,22,21,20,18,19,18,18,18,18,17,16,16,16,16,15,14,14,15,15,15,15,15,15,15,14,15,15,15,15,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,CT00014,Clutha,-46.233333,169.75,77,77,77,72,81,76,74,76,71,73,71,68,67,61,61,61,61,56,51,50,51,51,48,48,48,48,48,48,48,49,49,49,52,53,53,53,53,50,51,51,51,51,43,43,43,43,43,36,36,36,36,36,25,25,25,25,25,20,20,20,21,21,18,18,18,18,18,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
14,CT00015,Collingwood,-40.677222,172.682778,10,11,11,11,11,12,10,11,10,10,9,9,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,CT00016,Cook,-38.6623,178.0176,81,78,79,71,67,70,63,62,58,70,54,41,52,58,58,58,58,52,48,48,48,48,51,51,51,51,51,49,49,49,49,49,50,50,50,50,50,46,46,46,45,45,32,32,32,32,32,31,31,31,31,31,22,22,22,22,22,16,16,16,16,16,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
16,CT00017,Coromandel,-36.761287,175.4981278,25,25,24,26,24,24,23,22,21,21,20,19,18,17,17,17,17,17,16,16,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,14,14,15,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,CT00018,Dannevirke,-40.205303,176.100311,56,58,55,55,53,52,52,51,46,49,45,41,40,40,40,40,40,39,37,36,36,36,35,35,35,35,35,37,37,37,37,37,37,37,37,37,37,34,34,34,34,34,26,26,26,26,26,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
