ID,Longitude,Latitude,Province
BR00022,175.317,-41.117,Wellington
BR00023,175.566667,-40.216667,Wellington
BR00024,175.28583,-40.47167,Wellington
BR00025,171.24333,-44.09028,Canterbury
BR00026,178.017778,-38.6625,Hawkes.Bay
BR00027,168.94639,-46.09917,Southland
BR00028,170.43056,-45.90278,Otago
BR00029,171.2075,-42.45,Westland
BR00030,175.461,-41.08,Wellington
BR00031,175.283,-37.783,Auckland
BR00032,170.81667,-45.32778,Otago
BR00033,176.84918,-39.6381,Hawkes.Bay
BR00034,174.28333,-39.59167,Taranaki
BR00035,170.96667,-42.71667,Westland
BR00036,174.1802,-39.15824,Taranaki
BR00037,168.3538,-46.4132,Southland
BR00038,168.35,-46.425,Southland
BR00039,172.64013,-43.37832,Canterbury
BR00040,169.85,-46.275,Otago
BR00041,171.18694,-42.63111,Westland
BR00042,169.689,-45.913,Otago
BR00043,175.275,-40.63333,Wellington
BR00044,174.91667,-41.21667,Wellington
BR00045,172.632377,-43.526945,Canterbury
BR00046,175.37833,-40.06917,Wellington
BR00047,175.6575,-40.95972,Wellington
BR00048,168.867,-46.183,Southland
BR00049,169.96944,-46.12083,Otago
BR00050,175.517,-37.65,Auckland
BR00051,170.347,-45.875,Otago
BR00052,173.01472,-41.12333,Nelson
BR00053,174.716,-36.884,Auckland
BR00054,174.76204,-36.88158,Auckland
BR00055,176.91233,-39.4926,Hawkes.Bay
BR00056,170.133333,-45.016667,Otago
BR00057,173.28404,-41.27078,Nelson
BR00058,172.7303742,-43.50962726,Canterbury
BR00059,174.075226,-39.055626,Taranaki
BR00060,174.777578,-36.869862,Auckland
BR00061,175.15554,-37.66738,Auckland
BR00062,174.744,-36.805,Auckland
BR00063,170.96911,-45.09746,Otago
BR00064,175.39944,-39.41861,Taranaki
BR00065,174.7838,-36.9223,Auckland
BR00066,177.28706,-38.00915,Hawkes.Bay
BR00067,174.84019,-36.9382,Auckland
BR00068,175.15,-40.75833,Wellington
BR00069,175.66667,-37.36667,Auckland
BR00070,175.84083,-40.45333,Wellington
BR00071,170.715265,-45.484026,Wellington
BR00072,175.61113,-40.35636,Wellington
BR00073,174.47667,-39.75722,Taranaki
BR00074,174.8734632,-41.22166578,Wellington
BR00075,174.00801,-41.29067,Marlborough
BR00076,170.6188,-45.8178,Otago
BR00077,174.95,-37.2,Auckland
BR00078,168.66271,-45.03023,Otago
BR00079,172.58356,-43.30437,Canterbury
BR00080,172.59744,-43.52998,Canterbury
BR00081,173.183,-41.3333,Nelson
BR00082,168.01667,-46.35,Southland
BR00083,170.81417,-42.89583,Westland
BR00084,176.24516,-38.13874,Auckland
BR00085,169.3123,-45.53905,Otago
BR00086,171.2465516,-42.4020632,Westland
BR00087,175.4107,-40.5472,Wellington
BR00088,170.5009,-45.9048,Otago
BR00089,174.28382,-39.33708,Taranaki
BR00090,172.76447,-43.57144,Canterbury
BR00091,175.7988055,-39.6777,Wellington
BR00092,174.772,-36.787,Auckland
BR00093,169.2605276,-45.94332,Otago
BR00094,175.2666,-38.8833,Taranaki
BR00095,176.16667,-37.68611,Auckland
BR00096,175.717,-37.533,Auckland
BR00097,175.3302,-38.00822,Auckland
BR00098,175.163456,-38.332983,Auckland
BR00099,171.27786,-44.2453,Canterbury
BR00100,175.5405,-37.138389,Auckland
BR00101,171.25364,-44.39672,Canterbury
BR00102,175.833,-37.3833,Auckland
BR00103,170.67222,-45.59444,Otago
BR00104,171.05009,-44.72836,Canterbury
BR00105,176.58963,-39.9416,Hawkes.Bay
BR00106,176.5583,-39.9917,Hawkes.Bay
BR00107,177.41803,-39.03517,Hawkes.Bay
BR00108,174.23836,-39.00158,Taranaki
BR00109,175.05,-39.9333,Wellington
BR00110,174.77557,-41.28664,Wellington
BR00111,174.6418,-36.8094,Auckland
BR00112,171.6037,-41.75262,Westland
BR00113,176.985,-37.9585,Hawkes.Bay
BR00114,174.32391,-35.73167,Auckland
BR00115,168.33333,-46.15,Southland
BR00116,175.8667,-40.3371,Wellington
BR00117,172.683333,-43.55,Canterbury
