index,geo_unit,Name,Province,latitude,longitude
107,CT00108,Waipawa,Hawkes.Bay,-39.93989024,176.5908838
108,CT00109,Waipukurau,Hawkes.Bay,-39.99629318,176.5539761
109,CT00110,Wairarapa South,Wellington,-41.356,175.372
110,CT00111,Wairewa,Canterbury,-43.805,172.7407
111,CT00112,Wairoa,Hawkes.Bay,-39.03333,177.36667
112,CT00113,Waitaki,Otago,-44.926,170.635
113,CT00114,Waitemata,Auckland,-36.75,174.67
114,CT00115,Waitomo,Auckland,-38.2615305,175.1145451
115,CT00116,Waitotara,Taranaki,-39.805833,174.734444
116,CT00117,Wallace,Southland,-45.85,167.78
117,CT00118,Wanganui,Wellington,-39.9333,175.05
118,CT00119,Weber,Wellington,-40.4,176.317
119,CT00120,West Taupo,Auckland,-38.92,175.75
120,CT00121,Westland,Westland,-43.431,170.155
121,CT00122,Whakatane,Hawkes.Bay,-37.95855,176.98545
122,CT00123,Whangamomona,Taranaki,-39.14524461,174.7387759
123,CT00124,Whangarei,Auckland,-35.73167,174.32391
124,CT00125,Whangaroa,Auckland,-35.05205502,173.7434618
125,CT00126,Woodville,Wellington,-40.33773576,175.8669028
126,BR00001,Akaroa,Canterbury,-43.80467,172.966667
127,BR00002,Alexandra,Otago,-45.24917,169.37972
128,BR00003,Arrowtown,Otago,-44.9425,168.83583
129,BR00004,Ashburton,Canterbury,-43.90556,171.74556
130,BR00005,Auckland,Auckland,-36.86667,174.76667
131,BR00006,Balclutha,Otago,-46.233,169.75
132,BR00007,Birkenhead,Auckland,-36.80749,174.723051
133,BR00008,Blenheim,Marlborough,-41.514,173.96
134,BR00009,Bluff,Southland,-46.6,168.333
135,BR00010,Brunner,Westland,-42.4325,171.32278
136,BR00011,Cambridge,Auckland,-37.87822,175.4402
137,BR00012,Carterton,Wellington,-41.025,175.5275
138,BR00013,Christchurch,Canterbury,-43.55,172.6667
139,BR00014,Cromwell,Otago,-45.045944,169.19556
140,BR00015,Dannevirke,Wellington,-40.20611,176.09944
141,BR00016,Dargaville,Auckland,-35.93833,173.87167
