geo_unit,latitude,longitude
Auckland,-37.172361485818186,175.00659163454543
Canterbury,-43.61341933275,172.2994253425
Hawkes.Bay,-38.9089983135,177.29017018
Marlborough,-41.468913776,173.93081888
Nelson,-41.19842734,172.9269403
Otago,-45.62969807896552,170.01428867586208
Southland,-46.06511236363636,168.27552090909091
Taranaki,-39.34767164636364,174.47394375454545
Wellington,-40.695727529302324,175.40833881627907
Westland,-42.44800362090909,171.25746477272727
