page,electoral_district,locality,venue_type,entry_raw
9,Dunedin Central,Anderson’s Bay,School,"The Presbyterian School Hall, Anderson’s Bay"
9,Dunedin Central,Highcliffe,School,"The Pubbe School, Highcliffe"
9,Dunedin Central,Broad Bay,Public School,"The Public School, Broad Bay"
9,Dunedin Central,Hooper’s Inlet,Public School,"The Public School, Hooper’s Inlet"
9,Dunedin Central,North-east Hurbour,Public School,"The Public School, North-east Hurbour"
9,Dunedin Central,Purakanui,School,"The Publie School, Purakanui"
9,Dunedin Central,Lower Harbour,Public School,"The Public School, Lower Harbour (Port Chalmers)"
9,Dunedin Central,Deborah Bay,Other,"The Barracks, Deborah Bay (Port Chalmers)"
9,Dunedin Central,Reynoldstown (Port Chal,Other,"Donald Munro’s House, Reynoldstown (Port Chal"
9,Dunedin Central,Mosgiel,Hall,"The Coronation Hall, Mosgiel"
9,Dunedin Central,Fairfield,Public School,"The Public School, Fairfield"
9,Dunedin Central,Brighton,Public School,"The Public School, Brighton"
9,Dunedin Central,Otokia,Public School,"The Public School, Otokia"
9,Dunedin Central,Allanton,Public School,"The Public School, Allanton"
9,Dunedin Central,Kuri Bush,Public School,"The Public School, Kuri Bush"
9,Dunedin Central,Henley,Public Hall,"The Public Hall, Henley"
9,Dunedin Central,East Taieri,Other,"Riccarton Hall, East Taieri"
9,Dunedin Central,Hali-way Bush,Other,"The Polling-booth, Laing’s, Hali-way Bush"
9,Dunedin Central,Wylic’s Crossing,Public School,"The Public School, Wylic’s Crossing"
9,Wakatipu,Queenstown,Courthouse,"The Courthouse, Queenstown. (principal)"
9,Wakatipu,Moke Creck,Other,"John and Matthew Seffer’s House, Moke Creck"
9,Wakatipu,Skipper’s,Library,"The Library, Skipper’s"
9,Wakatipu,Cardrona,School,"The Publie School, Cardrona"
9,Wakatipu,Arrowtown,Other,"Vhe Courthouse, Arrowtown"
9,Wakatipu,Cromwell,Courthouse,"The Courthouse, Cromwell"
9,Wakatipu,Bannockburn,Hall,"The Atheneum, Bannockburn"
9,Wakatipu,Nevis,Library,"The Library, Nevis"
9,Wakatipu,Gibbston,Public School,"The Public School, Gibbston"
9,Wakatipu,Glenorchy,Public School,"The Public School, Glenorchy"
9,Wakatipu,Garston,Public School,"The Public School, Garston"
9,Wakatipu,Pembroke,Public School,"The Public School, Pembroke"
9,Wakatipu,Glenavy Station,Other,"George Pinchney’s House, Glenavy Station"
9,Wakatipu,Kingston,Other,"William Quinn’s House, Kingston"
9,Wakatipu,Lowburn,Public School,"The Public School, Lowburn"
9,Wakatipu,Makarora,Public School,"The Public School, Makarora"
9,Wakatipu,Nokomai,Public School,"The Public School, Nokomai"
9,Wakatipu,Otama,Public School,"The Public School, Otama"
9,Wakatipu,Sandhills,Other,"James Harber’s House, Sandhills"
9,Wakatipu,Waikaia,Courthouse,"The Courthouse, Waikaia"
9,Wakatipu,Wendon,Public School,"The Public School, Wendon"
9,Wakatipu,Luggate,Public School,"The Public School, Luggate"
9,Wakatipu,Mandeville,Public Hall,"The Public Hall, Mandeville"
9,Wakatipu,Maori Point,Other,"Egbert Sainsbury’s, jun., House, Maori Point"
9,Wakatipu,Winding Creek,Other,"John Shanks’s House, Break-’em-all, Winding Creek"
9,Wakatipu,Kawarau Falls,Other,"The Polling-booth, Kawarau Falls"
9,Wakatipu,Greenvale,Public School,"The Public School, Greenvale"
9,Wakatipu,Arrowbridge,Other,"William Clarke’s, jun., House, Arrowbridge"
9,Wakatipu,Athol,Public School,"The Public School, Athol"
9,Wakatipu,Balfour,Public School,"The Public School, Balfour"
9,Wakatipu,Hiwiroa,Public School,"The Public School, Hiwiroa (Longridge North)"
10,Wakatipu,Lumsden,Public Hall,"The Public Hall, Lumsden"
10,Wakatipu,Waikaka,Public Hall,"The Public Hall, Waikaka"
10,Wakatipu,Waitiri,Other,"John Henderson’s House, Waitiri"
10,Wakatipu,Tarras,Public School,"The Public School, Tarras"
10,Wakatipu,Arthur’s Point,Hall,"The Mission Hall, Arthur’s Point"
10,Wakatipu,Knapdale,Public School,"The Public School, Knapdale"
10,Wakatipu,cl yde,Courthouse,"The Courthouse, cl yde"
10,Wakatipu,*Earnsclough Flat,Public School,"The Public School, *Earnsclough Flat"
10,Wakatipu,Croydon Bush,Other,"George Biggar’s House, Croydon Bush"
10,Wallace,Riverton,Courthouse,"The Courthouse, Riverton (principal)"
10,Wallace,Otautau,Other,"Tho Courthouse, Otautau"
10,Wallace,Orepuki,Courthouse,"The Courthouse, Orepuki"
10,Wallace,Nightcaps,Public School,"The Public School, Nightcaps"
10,Wallace,Fairfax,Public School,"The Public School, Fairfax"
10,Wallace,Orawia,Public School,"The Public School, Orawia"
10,Wallace,Waimatuku,Public School,"The Public School, Waimatuku"
10,Wallace,Drummond,Public School,"The Public School, Drummond"
10,Wallace,Colac Bay,Public School,"The Public School, Colac Bay"
10,Wallace,Wairio,Public School,"The Public School, Wairio"
10,Wallace,Paiha,Public School,"The Public School, Paiha"
10,Wallace,Gummie’s Bush,Public School,"The Public School, Gummie’s Bush"
10,Wallace,Te Waewac,Other,"Tho Public School, Te Waewac"
10,Wallace,Te Tua,Public School,"The Public School, Te Tua"
10,Wallace,Tuatapere,Public School,"The Public School, Tuatapere"
10,Wallace,Aparima,Public School,"The Public School, Aparima"
10,Wallace,Scott’s Gap,Public School,"The Public School, Scott’s Gap"
10,Wallace,Tihaka,Public School,"The Public School, Tihaka"
10,Wallace,Pourakino,Other,"Traili Bros. and Smythies” s Hall, Pourakino"
10,Wallace,Mossburn,Public School,"The Public School, Mossburn"
10,Wallace,Calcium,Public School,"The Public School, Calcium"
10,Wallace,Holmsdale,Public School,"The Public School, Holmsdale"
10,Wallace,Riverside,Public School,"The Public School, Riverside"
10,Wallace,Birchwood,Public School,"The Public School, Birchwood"
10,Wallace,Waihoaka,Public School,"The Public School, Waihoaka"
10,Wallace,Wild Bush,Public School,"The Public School, Wild Bush"
10,Wallace,Waikoura,Public School,"The Public School, Waikoura"
10,Wallace,Opio,Public School,"The Public School, Opio"
10,Wallace,Clifden,Public School,"The Public School, Clifden"
10,Wallace,Caroline,Public School,"The Public School, Caroline"
10,Wallace,Wrey’ s Bush,Public Hall,"The Public Hall, Wrey’ s Bush"
10,Wallace,Lilburn,Public School,"The Public School, Lilburn"
10,Wallace,Mararoa,Other,"The Plains Station Wool-shed, Mararoa"
10,Wallace,Feldwick,Public School,"The Public School, Feldwick"
10,Wallace,Mangapiri,Other,"Belmont Wool-shed, Mangapiri"
10,Wallace,Te Oneroa,Other,"Morning Star Company’s Old Store, Te Oneroa"
10,Wallace,Kauana,Other,"Charles Shand’s Hduse, Kauana"
10,Wallace,Gladfield,Public School,"The Public School, Gladfield"
10,Wallace,Wairaki,Public School,"The Public School, Wairaki"
10,Wallace,Ermedale,Public School,"The Public School, Ermedale"
10,Awarua,Winton,Council Chambers,"The Council Chambers, Winton (principal)"
10,Awarua,Campbelltown,Courthouse,"The Courthouse, Campbelltown"
10,Awarua,Waianiwa,Public School,"The Public School, Waianiwa"
10,Awarua,Spar Bush,Public School,"The Public School, Spar Bush"
10,Awarua,Ryal Bush,Public School,"The Public School, Ryal Bush"
10,Awarua,Hokonui,Public School,"The Public School, Hokonui"
10,Awarua,Limehills,Public School,"The Public School, Limehills"
10,Awarua,Stewart Island,Public School,"The Public School, Half-moon Bay, Stewart Island"
10,Awarua,Wright’s Bush,Public Hall,"The Public Hall, Wright’s Bush"
10,Awarua,Waikiwi,Public School,"The Public School, Waikiwi"
10,Awarua,Brown’s,Public School,"The Public School, Brown’s"
10,Awarua,Tisbury,Public School,"The Public School, Tisbury"
10,Awarua,Taramoa,Public School,"The Public School, Taramoa"
10,Awarua,Otapiri Gorge,Public School,"The Public School, Otapiri Gorge (Matai)"
