page,electoral_district,locality,venue_type,entry_raw
6,Hutt,Upper Hutt,Courthouse,"The Courthouse, Upper Hutt"
6,Hutt,Kaitoke,Public School,"The Public School, Kaitoke"
6,Hutt,St,Other,"The Gymnasium, St"
6,Hutt,Kelburn,Other,"The Kiosk, Kelburn"
6,Hutt,Brandon Street,Other,"Bethune and Company’s Auction Mart, Brandon Street"
6,Hutt,Aro Street,Hall,"The Mission Hall, Aro Street"
6,Hutt,Adelaide Road,Other,"Victoria Hall, Adelaide Road"
6,Hutt,Hataitai,Other,"Bowling Pavilion, Hataitai"
6,Hutt,Roseneath,Public School,"The Public School, Roseneath"
6,Nelson,Nelson,Other,"The Magistrate’s Courthouse, Nelson ( princfpal)"
6,Nelson,Wakefield,Other,"The Odd Fellows’ Hall, Wakefield"
6,Nelson,Hope,Public School,"The Public School, Hope"
6,Nelson,Ranzau,Public School,"The Public School, Ranzau"
6,Nelson,Appleby,School,"The Sunday School, Appleby"
6,Nelson,Richmond,Other,"The Odd Fellows’ Hall, Richmond"
6,Nelson,Stoke,Public Hall,"The Public Hall, Stoke"
6,Nelson,Carluke,Public School,"The Public School, Carluke (Timatanga Post-office)"
6,Nelson,French Pass,Post Office,"The Post-office, French Pass"
6,Nelson,Tahunanui,Public School,"The Public School, Tahunanui"
6,Motueka,Motueka,Public School,"The Public School, Motueka (principal)"
6,Motueka,Wakefield,Public School,"The Public School, Wakefield"
6,Motueka,Wai-iti,Public School,"The Public School, Wai-iti"
6,Motueka,Dovedale,Public School,"The Public School, Dovedale"
6,Motueka,Foxhill,Public School,"The Public School, Foxhill"
6,Motueka,Motupiko,Public School,"The Public School, Motupiko"
6,Motueka,Ngatimote,Public School,"The Public School, Ngatimote"
6,Motueka,Riwaka,Public School,"The Public School, Riwaka"
6,Motueka,Brooklyn,Public School,"The Public School, Brooklyn"
6,Motueka,Rockville,School,"The Old School, Rockville"
6,Motueka,Bainham,Public School,"The Public School, Bainham"
6,Motueka,Waingaro,Public School,"The Public School, Waingaro"
6,Motueka,Motupipi,Public School,"The Public School, Motupipi"
6,Motueka,Karamea,Public School,"The Public School, Karamea"
6,Motueka,Tadmor,Railway Station,"The Railway-station, Tadmor"
6,Motueka,Takaka,Courthouse,"The Courthouse, Takaka"
6,Motueka,Puponga,Public School,"The Public School, Puponga"
6,Motueka,Appleby,Public School,"The Public School, Appleby"
6,Motueka,Upper Takaka,Other,"The Polling-booth, Upper Takaka"
6,Motueka,Summerlea (St,Public School,"The Public School, Summerlea (St"
6,Motueka,Hector,Public School,"The Public School, Hector (Ngakawau Post-office)"
6,Motueka,Tapawera,Public School,"The Public School, Tapawera"
6,Motueka,Glenhope,Public School,"The Public School, Glenhope"
6,Motueka,Terakohe,Other,"The Polling-booth, Terakohe"
6,Motueka,Tasman,Public School,"The Public School, Tasman"
