Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
,,Kawhia,3a,50,,,
,,Kennedy Bay ,2,34,,,
,,Kerepehi,2,25,,,
,,Kereta (11) and Waikaway (10),3A,21,,,
,,Kerikeri,2,15,,,
,,Kerikeri Inlet,1,11,,,
,,Kihikihi,3A,71,,,
,,Kimihia,2,27,,,
,,Kinohaku No.1 ,1,16,,,
,,Kinohaku No.2,2,26,,,
,,Kiokio,3A,56,,,
,,Kirikopuni,1,17,,,
,,Kiripaka,3A,50,,,
,,Kiwitahi,1,20,,,
,,Kohanga,1,12,,,
,,Kohekohe,2,28,,,
,,Kohukohu,4A,127,,,
,,Kokopu (half-time) See under Kara,,,,,
,,Komakorau,2,29,,,
,,Komata,2,16,,,
,,Komata South,2,25,,,
,,Komiti,2,19,,,
,,Kopu,3A,63,,,
,,Kopuarahi,2,36,,,
,,Korakonui,2,31,,,
,,Koromatua,2,25,,,
,,Koutu,2,12,,,
,,Kuaotunu,3A,29,,,
,,Kutarere,3A,39,,,
,,Lichfield,1,13,,,
,,Limestone Island,1,17,,,
,,Lindum Grange,1,10,,,
,,Lochnorrie (23) and Wainui (15),3A,38,,,
,,Long Bay (hlaf-time) see under Greenhithe,,,,,
,,Lower Waitoa,2,38,,,
,,Mahurangi Heads West (13) and Puhuehue (9) ,2,22,,,
,,Maihiihi,3A,39,,,
,,Mairoa (16) and Waitanguru (17) ,3A,33,,,
,,Makarau (15) and Tahekeroa (15) ,2,30,,,
,,Maketu,3B,105,,,
,,Mamaku,3B,105,,,
,,Manawahe,2,19,,,
,,Manawaru,3B,86,,,
,,Mangaiti,2,25,,,
,Page VIII,Mangakura (half-time) see under Araparara,,,,,
,,Mangaotaki,1,16,,,
,,Mangapai,3A,37,,,
,,Mangapehi,3A,59,,,
,,Mangapiko,2,34,,,
,,Mangarata (10) and Paradise (11),2,21,,,
,,Mangataraia,0,7,,,
,,Mangateka,1,19,,,
,,Mangatete,3A,50,,,
,,Mangatu (14) and Tuamoe (8),2,22,,,
,,Mangawai beach,3A,41,,,
,,Mangawhero,1,24,,,
,,Mangere,3A,67,,,
,,Mangere Bridge,3B,107,,,
,,Mangonui,3A,46,,,
,,Manukau Heads,1,14,,,
,,Manurewa,4B,181,,,
,,Mapiu,3a,24,,,
,,Maraetai Nos.1 (13) and 2 (8),2,21,,,
,,Maramarua (13) and Maramarya East (10),1,23,,,
,,Mareretu,2,22,,,
,,Marlow (7) and Ruapekapeka West (12),1,19,,,
,,Maromaku,2,31,,,
,,Marsden Point,1,11,,,
,,Marua,2,29,,,
,,Mata,3A,20,,,
,,Matahuru Nos 1 (16) and 2 (21),2,37,,,
,,Mataitai,2,21,,,
,,Matakana,3A,52,,,
,,Matakohe,3a,40,,,
,,Matakohe No.2,1,7,,,
,,Matamata District High School - Primary (186) Secondary (22),4A,208,,,
,,Matangi ,3B,111,,,
,,Matapouri (16) and Tutukaka (17),2,33,,,
,,Mati,2,24,,,
,,Matira (half-time) See under Awaroa,,,,,
,,Mauku,3A,66,,,
,,Maungakaramea,3A,66,,,
,,Maungatapere,3A,59,,,
,,Maungatautari,3A,39,,,
,,Maungatautari No.2,1,17,,,
,,Maungatawhiri Valley,3A,45,,,
,,Maungaturoto,3a,56,,,
,,Maungawhau,7D,698,,,
,,Maunu,3A,44,,,
,,Meadowbank,4B,230,,,
,,Mercer,3B,88,,,
,,Mercury Bay,3B,96,,,
,,Miranda (half-time) see under Kaiwa,,,,,
,,Mokai,3A,42,,,
,,Mokauiti,3A,37,,,
,,Monavale,1,26,,,
,,Morrinsville,5A,261,,,
,,Motukaraka,3A,42,,,
,,Motumaoho,3A,45,,,
,,Motutara (11) and Muriwai (15),2,26,,,
,,Moumoukai,1,13,,,
,,Mount Albert,7D,660,,,
,,Mount Eden,7H,856,,,
