Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
,,Pine Hill,3A,40,,,
,,Poolburn,1,17,,,
,,Popotunoa,1,12,,,
,,Port Chalmers District High School Primary (447) Secondary (25),6B,472,,,
,,Port Molyneux,2,14,,,
,,Portobello,3A,57,,,
,,Pounawea,1,14,,,
,,Pukeiwitahi,2,28,,,
,,Pukema,1,8,,,
,,Pukepito,1,17,,,
,,Puketi,1,14,,,
,,Puketiro,1,11,,,
,,Pukeuri,3A,61,,,
,,Purakanui,2,33,,,
,,Purakauiti,1,16,,,
,,Purekireki,2,17,,,
,,Rae's Junction,1,17,,,
,,Ranfurly,3A,76,,,
,,Ratanui,3A,38,,,
,,Ravensbourne,4B,192,,,
,,Reomoana,1,19,,,
,,Romahapa,3A,45,,,
,,Roxburgh,4A,148,,,
,,Saddle Hill,1,9,,,
,,St. Bathans,2,28,,,
,,St.Clair,5B,321,,,
,,St. Leonards,3A,39,,,
,,Sandymount,3A,38,,,
,,Sawyer's Bay,4A,122,,,
,,Seacliff,3B,90,,,
,,Southbridge,2,28,,,
,,Spottis Creek,1,10,,,
,,Spylaw Valley,1,11,,,
,,Stirling,3A,72,,,
,,Stony Creek,2,18,,,
,,Strath Taieri,4A,117,,,
,,Sutton,2,31,,,
,,Table Hill,1,12,,,
,,Tahakapa,2,33,,,
,,Tahatika,2,22,,,
,,Tahora,0,8,,,
,,Taieri Beach,2,22,,,
,,Taieri Ferry,1,14,,,
,,Tapanui District High School Primary (164) Secondary (24),4B,188,,,
,,Tapui,2,15,,,
,,Tarara,1,10,,,
,,Tarras,1,14,,,
,,Taumata,1,12,,,
,,Tawanui,2,21,,,
,,Teaneraki,3A,63,,,
,,Te Houka,2,22,,,
,,Tokaraki,3A,44,,,
,,Tokoiti,3B,95,,,
,,Tokamairiro District High School Primary (223) Secondary (21),5A,244,,,
,,Totara,3A,85,,,
,,Tuapeka Flat,1,13,,,
,,Tuapeka Mouth,3A,37,,,
,,Tuapeka West ,1,16,,,
,,Upper Junction ,2,26,,,
,,Waianakarua,2,33,,,
,,Waihemo,1,10,,,
,,Waihola,3A,47,,,
,,Waikoikoi,3A,38,,,
,,Waikouaiti ,4B,155,,,
,,Waipahi,2,34,,,
,,Waipiata,1,32,,,
,,Waipori,2,19,,,
,,Waipori Falls,1,17,,,
,,Wairuna,2,21,,,
,,Waitahuna,3B,83,,,
,,Waitahuna Gully,2,24,,,
,,Waitahuna West,1,17,,,
,,Waitaki Bridge,2,26,,,
,,Waitapeka,1,23,,,
,,Waitati,3B,84,,,
,,Waiwera,3A,58,,,
,,Wakari,4A,170,,,
,,Walton,3A,58,,,
,,Wanaka,1,14,,,
,,Wanaka Road,0,5,,,
,,Wangaloa,1,5,,,
,,Warepa,1,22,,,
,,Waronui,2,21,,,
,,Wedderburn,2,23,,,
,,Weston,3B,90,,,
,,West Taieri,2,27,,,
,,Wetherstones,1,13,,,
,,Whare Flat,0,9,,,
,,Wharekuri,1,14,,,
,,Wharetoa,1,10,,,
,,Windsor,3A,47,,,
,,Wylie's Crossing,2,24,,,
,,"Normal District High School and four model schools (at Training College) - Normal primary (437) Model Schools type I rural (38); type ii junior P-S2 (37), type iii secondary (64); type v junior Kindergarten (average not reckoned: children under five years of age)",7B,576,,,
