Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
,,Kimberley,2,27,,,
,,Kingsdown,3A,34,,,
,,Kirikiri,2,24,,,
,,Kirwee,2,40,,,
,,Kisselton,1,12,,,
,,Kohika,1,13,,,
,,Koiterangi,2,22,,,
,,Kokatahi Lower,2,29,,,
,,Kokatahi Upper,1,9,,,
,,Kokiri,2,33,,,
,,Kowhai Bush,2,13,,,
,,Kukupa,0,11,,,
,,Kumara,3B,88,,,
,,Kumara Junction,1,13,,,
,,Ladbrooks,3A,42,,,
,,La Fontaine,2,16,,,
,,Lakeside,3A,43,,,
,,Lauriston,3A,53,,,
,,Le Bon's Bay,3A,33,,,
,,Leeston,3A,74,,,
,,Leithfield,3A,32,,,
,,Lincoln District High School Primary (81) Secondary (10),3B,91,,,
,,Linwood,7D,645,,,
,,Lismore,3A,42,,,
,,Little Akaloa,2,21,,,
,,Little River,3A,54,,,
,,Loburn,3A,49,,,
,,Loburn North,2,22,,,
,,Longbeach,2,16,,,
,,Lowcliffe,2,30,,,
,,Lyalldale,2,23,,,
,,Lyndhurst,3A,42,,,
,,Lyndon,1,10,,,
,,Lynnford,2,21,,,
,,Lynton Downs,1,11,,,
,,Lyttleton District High Schol Primary (404) Secondary (19),6A,423,,,
,,Lyttleton Heads,0,6,,,
,,Lyttleton West,4B,162,,,
,,Mackenzie,3B,86,,,
,,Mahitahi,0,8,,,
,,Makikihi,2,44,,,
,,Mananui,1,6,,,
,,Marsden (see under Dunganville),,,,,
,,Marshland,4a,114,,,
,,Mason's Flat,2,29,,,
,,Mayfield,3A,66,,,
,,Mead,2,28,,,
,,Medbury,1,18,,,
,,Methven,4A,146,,,
,,Mikonui,1,10,,,
,,Milford,3A,59,,,
,,Moana,1,12,,,
,,Monavale,2,25,,,
,,Moonlight,0,6,,,
,,Morven,3A,61,,,
,,Motukarara,2,25,,,
,,Mount Grey Downs,2,21,,,
,,Mount Nessing,2,23,,,
,,Mount Somers ,3A,53,,,
,,New Brighton (452) and North New Brighton (side school) (51),6B,503,,,
lxii,,Newland ,1,14,,,
,,Ngahere,3A,52,,,
,,"Normal District High School and four model schools (at Training College) - Normal Primary (355); Model schhols - Type i; rural (27); type ii, junior P-S2 (21); type iii, secondary (45); type iv, Junior Kindergarten (average not reckoned, children under 5 years of age)",6B,448,,,
,,Ohoka,3A,51,,,
,,Okain's Bay,3A,48,,,
,,Okarito,0,9,,,
,,Okarito Forks ,0,4,,,
,,Okuku,1,14,,,
,,Okuru,1,6,,,
,,Okute Valley ,1,17,,,
,,Omihi,3A,36,,,
,,Opawa,5C,324,,,
,,Opihi,2,25,,,
,,Orari,3A,81,,,
,,Orari Bridge,2,27,,,
,,Orari Gorge,2,17,,,
,,Orton,1,16,,,
,,Orwell Creek,1,9,,,
,,Otaio,1,13,,,
,,Otira,3A,56,,,
,,Oruruhia,3A,53,,,
,,Overdale,1,19,,,
,,Owenga,1,15,,,
,,Oxford East District High School - Primary (106) Secondary (13),4A,119,,,
,,Oxford West,3A,48,,,
,,Papanui (262) and Bligh's Road (side school) (104),5C,360,,,
,,Pareora East,3A,77,,,
,,Pareora West,2,32,,,
,,Parnassus,1,12,,,
,,Paroa,3B,54,,,
,,Pendarves,2,23,,,
,,Phillipstown ,5C,316,,,
,,Pigeon's Bay ,1,18,,,
,,Pleasant Point District High School Primary (146) Secondary (22),4A,168,,,
,,Pleasant Valley,2,30,,,
,,Port Levy,1,12,,,
,,Port Robinson,1,7,,,
,,Prebbleton,3B,81,,,
,,Puaha,2,39,,,
,,Pukekura,1,10,,,
,,Rakaia South,3B,122,,,
,,Rangiora ,5A,282,,,
,,Rangitata Island,1,11,,,
,,Rangitata Station,1,23,,,
,,Rapaki,1,14,,,
,,Redcliffs,3B,83,,,
,,Rewanui,1,10,,,
,,Riccarton,4C,203,,,
,,Richmond,7C,597,,,
,,Riverside,1,8,,,
,,Roa,2,21,,,
,,Robinson's Bay,1,12,,,
,,Rockwood,1,10,,,
lxiv,,Rokeby,2,36,,,
,,Rolleston,3A,45,,,
,,Rosewill,2,29,,,
,,Ross,3A,81,,,
,,Rotherham,3A,46,,,
,,Rotomanu,1,17,,,
,,Ruapuna,2,25,,,
,,Ruatapu,3A,58,,,
,,Runanga,4C,241,,,
,,Russell's Flat,1,21,,,
,,St. Albans,7B,578,,,
,,St. Andrews,3B,85,,,
,,Salisbury,1,19,,,
,,Saltwater Creek,2,24,,,
,,Seargill,1,14,,,
,,Scotsburn,1,16,,,
,,Seadown,2,29,,,
,,Seafield,1,9,,,
,,Seaview,1,15,,,
,,Sedgemere,2,23,,,
,,Sefton,3A,52,,,
,,Selwyn,1,14,,,
,,Sherwood Downs,1,13,,,
,,Shirley Road,5D,407,,,
,,Silverstream ,3a,43,,,
,,Somerfield,5D,388,,,
,,South Belt (see under Christchurch East) ,,,,,
,,Southbridge District High School Primary (140) Secondary (23),4B,163,,,
,,Southbrook ,4A,153,,,
,,Southburn,1,22,,,
,,South Malvern,2,30,,,
,,South Beach,2,17,,,
,,Spencerville,1,9,,,
,,Spotswood,3a,31,,,
,,Spreydon,4C,193,,,
,,Springbank,1,9,,,
,,Springbrook,2,23,,,
,,Springburn,3A,41,,,
,,Springfield,3A,39,,,
,,Springston,3A,63,,,
,,Springston South,3A,45,,,
,,Stafford,2,31,,,
,,Stillwater,3a,32,,,
,,Summerhill,1,15,,,
,,Sumner,4C,252,,,
,,Sutherlands,3A,45,,,
,,Swannanoa,2,28,,,
,,Swedes Mill,3A,26,,,
,,Sydenham,7D,906,,,
,,Tai Tapu,3a,78,,,
,,Takamatua,2,24,,,
,,Taramakau,1,9,,,
,,Tawa,2,32,,,
,,Taylorville,3A,50,,,
,,Te Awa,1,12,,,
,,Teddington,1,21,,,
,,Te Kinga,2,30,,,
,,Te Moana,1,10,,,
,,Templeton,4A,124,,,
,,Temuka District High School Primary (330) Secondary (34),5D,364,,,
,,Te Ngawai,2,21,,,
,,Te One,3A,38,,,
,,Te Pirita,1,10,,,
,,Te Roto,2,25,,,
,,Teschmakers,1,10,,,
,,The Peaks,1,16,,,
,,Timaru Main (735) and Timaru West (side school) (127),7H,862,,,
,,Timaru South,6B,463,,,
,,Timaru West (side school) see under Timaru Main,,,,,
,,Timaunga,1,16,,,
,,Tinwald,4B,171,,,
,,Totara Flat,1,15,,,
,,Totara Valley,1,9,,,
,,Tuahiwi,2,24,,,
,,Tycho,2,24,,,
,,View Hill,2,36,,,
,,Waddington ,3B,84,,,
,,Waiau ,3A,75,,,
,,Waihao Downs ,3A,38,,,
,,Waihaorunga,1,16,,,
,,Waiho,0,5,,,
,,Waikakahi,1,10,,,
,,Waikari,3A,61,,,
,,Waikuku,3A,41,,,
,,Waimataitai,7B,588,,,
,,Waimate District High School Primary (458) Secondary (73) ,7A,531,,,
,,Wainihinihi ,1,10,,,
,,Wainui,1,15,,,
,,Waipara,2,29,,,
,,Wairewa,1,9,,,
,,Waitahu,1,15,,,
,,Waitohi Flat,2,28,,,
,,Waitohi Upper,1,18,,,
,,Waituna Creek,2,29,,,
,,Wakanui,2,36,,,
,,Waltham,7C,627,,,
,,Warren Estate,1,15,,,
,,Washdyke,3B,116,,,
,,Wataroa,1,12,,,
,,Weedon's,2,33,,,
,,Westbrook,0,6,,,
,,Westerfield,3A,41,,,
,,West Melton,2,33,,,
,,Wharenui,5C,322,,,
,,Whiterock,1,13,,,
,,Willowbridge,3A,43,,,
,,Willowby,3A,38,,,
,,Winchester ,3A,46,,,
,,Winchmore,1,18,,,
,,Winslow,2,21,,,
,,Woodbury,3A,48,,,
,,Woodend,3B,86,,,
,,Woodstock,3A,71,,,
,,Woolston,7C,565,,,
,,Yaldhurst,3A,43,,,
