Papers Past | Parliamentary Papers | Appendix to the Journals of the House of Representatives | 1919 Session I | Page I,,,,,,,
,,,,,,,
Appendix E,,,,,,,
,,,,,,,
,,Managaiti,,,,,
,Education District,Name,Grade 1918,Average Attendance 1918,Borough (town/city),County (rural),Province
,,Tangiwai,1,11,,,
,,Taonui,3A,49,,,
,,Taoroa,1,7,,,
,,Taoroa Road,1,14,,,
,,Tauakira,0,10,,,
,,Taumata,0,8,,,
,,Te Ara-Kura,3A,52,,,
,,Te Rena,1,10,,,
,,"Terrace End, Palmerston North",7B,593,,,
,,Tiakitahuna,2,33,,,
,,Tiriraukawa,1,13,,,
,,Tiritea,3A,44,,,
,,Tokorangi,2,34,,,
,,Torere,3A,52,,,
,,Taupaka ,0,3,,,
,,Tunakotekote,1,14,,,
,,Turakina,3A,74,,,
,,Turangarere,3A,67,,,
,,Umumuri (81) and Herrington (side school) (14),3B,95,,,
,,Umutoi,2,18,,,
,,Upokongaro,3A,47,,,
,,Upper Kawhatau,1,7,,,
,,Upper Retaruke,0,11,,,
,,Upper Tutaenui,3A,39,,,
,,Utiku,3A,87,,,
,,Utuwai,2,23,,,
,,Valley Road,2,31,,,
,,Victoria Avenue,7A,493,,,
,,Waiata,1,20,,,
,,Waikupa Road,0,2,,,
,,Waipuru,2,18,,,
,,Waitohi,2,16,,,
,,Waitotara,3A,42,,,
,,Waituna West,3A,44,,,
,,Wangehu,2,42,,,
,,Wanganui Central Infants' ,5A,276,,,
,,Wanganui East,6A,423,,,
,,Warrengate,3A,53,,,
,,Watershed Road,0,7,,,
,,Waverley,4A,138,,,
,,"West End, Palmerston North",5A,273,,,
,,Western Rangitikei,2,26,,,
,,Westmere,3A,77,,,
,,Whaka Road,1,17,,,
,,Whareroa,0,4,,,
,,Whenuakura,3A,45,,,
,,Winiata (side school) see under Taihape,,,,,
,,Woodlands,1,16,,,
