"CountyID","County","Province","Population","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"CT00110","Wairarapa South","Wellington",1360,35,36,34,34,33,32,32,31,29,30,28,25,25,25,25,25,25,24,23,22,23,23,22,21,21,22,22,23,23,23,23,23,23,23,23,23,23,21,21,21,21,21,16,16,16,16,16,12,13,13,13,13,9,9,9,9,9,7,7,7,7,7,5,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00111","Wairewa","Canterbury",468,12,12,11,12,12,11,11,11,10,10,9,9,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,5,5,5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00112","Wairoa","Hawkes.Bay",986,27,26,27,24,22,23,21,21,20,23,18,14,17,19,19,19,19,17,16,16,16,16,17,17,17,17,17,16,16,16,16,16,17,17,17,17,17,15,15,15,15,15,11,11,11,11,11,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00113","Waitaki","Otago",5033,117,115,115,109,123,114,111,115,107,109,107,102,101,92,92,92,92,85,76,76,76,76,72,72,72,72,72,72,73,73,73,73,79,79,80,79,79,76,76,76,76,76,64,64,64,64,64,54,54,54,54,54,38,38,38,38,38,30,31,31,31,31,27,28,28,28,28,20,20,20,20,20,15,15,15,15,15,11,11,11,10,10,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0
"CT00114","Waitemata","Auckland",4236,111,113,107,114,107,108,103,97,93,93,89,84,82,77,77,77,77,76,70,69,70,70,67,66,66,66,66,69,71,71,71,71,71,72,73,72,72,64,65,65,65,65,50,50,50,50,50,39,40,40,40,40,28,28,28,28,28,21,21,21,21,21,15,16,16,16,16,10,10,10,10,10,7,7,8,8,8,5,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00115","Waitomo","Auckland",2674,70,71,67,72,67,68,65,61,59,58,56,53,52,49,49,49,49,48,44,44,44,44,43,42,42,42,42,44,45,45,45,45,45,46,46,46,46,40,41,41,41,41,31,32,32,32,32,25,25,25,25,25,17,18,18,17,17,13,13,14,14,14,10,10,10,10,10,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00116","Waitotara","Taranaki",1297,36,38,36,34,36,34,33,33,31,31,29,27,28,26,26,26,26,24,23,23,23,23,21,21,21,21,21,22,22,22,22,22,21,21,21,21,21,18,18,18,18,18,14,14,14,14,14,10,11,11,11,11,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00117","Wallace","Southland",3855,100,108,100,102,106,100,98,101,93,93,93,84,85,75,75,75,75,63,60,60,60,60,58,58,58,58,58,59,60,60,60,60,59,59,59,59,59,52,52,53,52,52,42,42,42,42,42,33,34,34,34,34,25,25,25,25,25,22,22,22,22,22,17,17,17,17,17,12,12,12,12,12,8,8,8,9,9,5,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00118","Wanganui","Wellington",1120,29,29,28,28,27,27,27,26,24,25,23,21,21,20,20,20,20,20,19,19,19,19,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,17,18,18,18,18,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,5,5,5,5,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00119","Weber","Wellington",172,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00120","West Taupo","Auckland",1283,34,34,33,35,33,33,31,30,28,28,27,26,25,23,23,24,24,23,21,21,21,21,21,20,20,20,20,21,22,22,22,22,22,22,22,22,22,19,20,20,20,20,15,15,15,15,15,12,12,12,12,12,8,8,8,8,8,6,6,7,7,7,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00121","Westland","Westland",1833,38,43,38,40,48,40,40,37,47,37,38,38,31,28,28,28,28,30,29,29,29,29,23,23,23,23,23,29,29,29,29,29,28,28,28,28,28,30,30,30,30,30,25,25,25,25,25,19,19,19,19,19,13,13,13,13,13,9,9,9,9,9,9,10,10,10,10,6,6,6,6,6,9,9,9,9,9,7,7,7,7,7,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00122","Whakatane","Hawkes.Bay",1241,34,33,33,29,28,29,26,26,24,29,23,17,22,24,24,24,24,22,20,20,20,20,21,21,21,21,21,20,20,20,20,20,21,21,21,21,21,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,4,4,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00123","Whangamomona","Taranaki",514,14,15,14,14,14,13,13,13,12,12,12,11,11,10,10,10,10,10,9,9,9,9,8,8,8,8,8,9,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00124","Whangarei","Auckland",3987,105,106,101,108,100,102,97,91,87,87,84,79,78,72,72,73,73,72,66,65,66,66,64,63,62,63,63,65,66,67,67,67,67,68,68,68,68,60,61,61,61,61,47,47,47,47,47,37,37,38,38,38,26,26,26,26,26,20,20,20,20,20,14,15,15,15,15,9,9,10,10,10,7,7,7,7,7,5,5,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"CT00125","Whangaroa","Auckland",422,11,11,11,11,11,11,10,10,9,9,9,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00126","Woodville","Wellington",886,23,23,22,22,21,21,21,20,19,20,18,17,16,16,16,16,16,16,15,15,15,15,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,10,10,11,10,10,8,8,8,8,8,6,6,6,6,6,4,4,5,5,5,4,4,4,4,4,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
