"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00060","Newmarket",1552,"Auckland","Auckland",29,30,29,31,32,31,30,29,29,30,30,31,30,29,29,29,29,28,26,26,26,26,25,25,25,25,25,25,25,26,26,26,26,27,27,27,27,24,25,25,25,25,20,20,20,20,20,17,17,17,17,17,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,5,6,6,6,6,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00061","Ngaruawahia",575,"Hamilton","Auckland",13,15,13,14,15,14,13,12,14,13,12,10,11,10,10,10,10,10,11,11,11,11,11,11,11,11,11,10,10,10,10,10,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,3,3,3,2,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00062","Northcote",1026,"Auckland","Auckland",19,20,19,20,21,21,20,19,19,20,20,20,20,19,19,19,19,19,17,17,17,17,17,16,16,16,16,17,17,17,17,17,17,18,18,18,18,16,16,16,16,16,13,14,14,14,14,11,11,11,11,11,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00063","Oamaru",3013,"Dunedin","Otago",57,59,57,58,64,61,60,62,60,60,61,64,62,59,59,59,59,58,50,50,51,51,46,46,46,46,46,45,45,45,45,45,46,47,47,47,47,45,45,45,45,45,39,39,39,39,39,33,33,33,33,33,25,25,25,24,24,20,20,20,20,20,17,17,17,17,17,12,12,12,12,12,9,9,9,9,9,6,6,6,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00064","Ohakune",761,"Wanganui","Taranaki",17,17,17,18,17,17,18,17,17,17,17,17,19,14,15,15,15,12,13,13,13,13,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,9,9,9,9,9,7,7,8,8,8,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00065","Onehunga",3557,"Auckland","Auckland",67,69,66,71,72,72,69,67,66,69,68,71,69,66,66,66,66,64,60,59,60,60,57,57,56,57,57,58,58,59,59,59,60,61,61,61,61,56,57,57,57,57,47,47,47,47,47,38,39,39,39,39,28,28,28,28,28,23,23,23,23,23,18,18,18,18,18,13,13,13,13,13,9,9,9,9,9,6,6,6,5,5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00066","Opotiki",553,"Gisborne","Hawkes.Bay",14,14,13,15,14,14,13,13,12,11,12,12,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00067","Otahuhu",1410,"Auckland","Auckland",27,28,26,28,29,29,27,26,26,27,27,28,28,26,26,26,26,26,24,24,24,24,23,22,22,23,23,23,23,23,23,23,24,24,24,24,24,22,23,23,23,23,19,19,19,19,19,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00068","Otaki",532,"Wellington","Wellington",11,11,10,11,10,11,10,10,10,11,10,9,10,9,9,9,9,10,9,9,9,9,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00069","Paeroa",845,"Hamilton","Auckland",20,22,19,21,22,21,19,18,20,19,18,15,17,14,14,14,14,15,16,16,16,16,16,15,16,16,16,15,15,15,15,15,16,16,16,16,16,13,13,13,13,13,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
