"CountyID","County","Province","Population","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"CT00045","Kawhia","Auckland",565,15,15,14,15,14,14,13,13,12,12,12,11,11,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,10,9,10,10,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00046","Kiwitea","Wellington",1229,32,32,31,30,29,28,28,28,26,27,25,23,22,22,22,22,22,21,19,20,20,20,19,19,19,19,19,20,21,21,21,21,21,21,21,21,21,19,19,19,19,19,14,15,15,15,15,11,12,12,11,11,8,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00047","Kowai","Canterbury",927,24,23,23,23,23,21,21,21,20,20,19,17,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00048","Lake","Southland",837,22,24,22,22,23,21,21,22,20,20,20,18,18,16,16,16,16,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,12,12,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00049","Levels","Canterbury",2285,59,56,56,57,57,52,51,52,50,49,46,43,42,41,41,41,41,38,36,37,37,37,36,36,36,36,36,37,38,38,38,38,37,37,37,37,37,34,34,34,34,34,27,27,27,27,27,22,22,22,22,22,15,15,15,15,15,13,13,13,13,13,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00050","Mackenzie","Canterbury",1608,42,40,39,40,40,37,36,37,35,35,32,30,29,29,29,29,29,27,26,26,26,26,25,25,25,25,25,26,26,26,27,27,26,26,26,26,26,24,24,24,24,24,19,19,19,19,19,16,16,16,16,16,11,11,11,11,11,9,9,9,9,9,8,8,8,8,8,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00051","Makara","Wellington",1335,35,35,33,33,31,31,31,30,28,29,27,25,24,24,24,24,24,23,21,21,21,21,21,21,21,21,21,22,23,22,23,23,22,23,23,23,23,21,21,21,21,21,16,16,16,16,16,12,13,13,12,12,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00052","Malvern","Canterbury",1442,37,35,35,36,36,33,32,33,31,31,29,27,26,26,26,26,26,24,23,23,23,23,22,23,23,23,23,23,24,24,24,24,23,24,24,24,24,21,21,21,21,21,17,17,17,17,17,14,14,14,14,14,10,10,10,10,10,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00053","Manawatu","Wellington",2116,55,56,53,52,50,49,49,48,44,47,43,40,39,38,38,38,38,37,33,34,34,34,33,33,33,33,33,35,36,36,36,36,35,36,36,36,36,33,33,33,33,33,25,25,25,25,25,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,7,7,4,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00054","Maniototo","Otago",1338,31,31,31,29,32,30,29,30,28,29,28,27,27,24,24,24,24,22,20,20,20,20,19,19,19,19,19,19,19,19,20,20,21,21,21,21,21,20,20,20,20,20,17,17,17,17,17,15,15,15,15,15,10,10,10,10,10,8,8,8,8,8,7,8,8,8,8,5,6,6,6,6,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00055","Manukau","Auckland",2773,74,74,70,74,69,69,66,62,60,60,57,54,53,49,49,49,49,49,45,45,46,46,44,44,44,45,45,46,47,47,47,47,47,48,48,48,48,42,42,42,42,42,33,33,33,33,33,26,26,26,26,26,18,18,18,18,18,14,14,14,14,14,10,11,11,11,11,7,7,7,7,7,5,5,5,6,6,4,4,4,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00056","Marlborough","Marlborough",3387,91,91,84,85,83,88,82,78,72,73,70,63,63,61,61,61,61,51,53,54,54,54,53,53,53,54,54,53,53,53,54,54,56,56,56,56,56,50,50,50,50,50,38,38,38,38,38,32,33,33,33,33,23,23,23,23,23,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,8,9,9,9,9,5,5,5,5,5,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"CT00057","Masterton","Wellington",1324,34,35,33,32,31,31,31,30,28,29,27,25,24,24,24,24,24,23,21,21,21,21,20,21,21,21,21,22,22,22,22,22,22,23,23,22,22,20,21,21,21,21,16,16,16,16,16,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00058","Matakaoa","Hawkes.Bay",374,10,10,10,9,8,9,8,8,7,9,7,5,6,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00059","Matamata","Auckland",2561,68,68,64,68,63,64,61,58,56,56,53,50,49,45,45,46,46,45,42,42,42,42,41,41,41,41,41,43,43,43,43,43,44,44,44,44,44,39,39,39,39,39,30,30,30,30,30,24,24,24,24,24,17,17,17,17,17,13,13,13,13,13,10,10,10,10,10,6,6,6,7,7,5,5,5,5,5,4,3,3,3,3,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00060","Mauriceville","Wellington",399,10,10,10,10,9,9,9,9,8,9,8,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CT00061","Mongonui","Auckland",2115,56,56,53,56,52,53,50,48,46,46,44,41,40,37,37,38,38,37,35,35,35,35,34,34,34,34,34,35,36,36,36,36,36,36,36,36,36,32,32,32,32,32,25,25,25,25,25,20,20,20,20,20,14,14,14,14,14,11,11,11,11,11,8,8,8,8,8,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
