"BoroughID","Borough","Population","Urban","Province","y0","y1","y2","y3","y4","y5","y6","y7","y8","y9","y10","y11","y12","y13","y14","y15","y16","y17","y18","y19","y20","y21","y22","y23","y24","y25","y26","y27","y28","y29","y30","y31","y32","y33","y34","y35","y36","y37","y38","y39","y40","y41","y42","y43","y44","y45","y46","y47","y48","y49","y50","y51","y52","y53","y54","y55","y56","y57","y58","y59","y60","y61","y62","y63","y64","y65","y66","y67","y68","y69","y70","y71","y72","y73","y74","y75","y76","y77","y78","y79","y80","y81","y82","y83","y84","y85","y86","y87","y88","y89","y90","y91","y92","y93","y94","y95","y96","y97","y98","y99","y100","y101","y102","y103","y104","y105"
"BR00028","Green Island",867,"Dunedin","Otago",17,17,16,17,18,17,17,17,17,17,17,18,18,17,17,17,17,17,14,14,14,14,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,11,11,11,11,11,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00029","Greymouth",2386,"GreyValley","Westland",62,56,59,56,55,63,59,63,60,58,61,51,54,42,42,42,42,34,30,31,31,31,34,34,34,34,34,34,35,35,35,35,42,42,42,42,42,39,39,39,39,39,30,31,31,31,31,20,20,20,20,20,15,15,15,15,15,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
"BR00030","Greytown",543,"Wellington","Wellington",11,11,11,11,10,11,10,10,10,11,10,10,10,9,9,9,9,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00031","Hamilton",5121,"Hamilton","Auckland",120,132,113,126,130,125,115,110,122,113,108,93,100,86,86,86,86,88,96,97,97,97,93,94,94,94,94,88,89,89,89,89,96,96,96,96,96,78,79,79,78,78,55,55,55,55,55,43,44,44,43,43,30,30,30,30,30,23,23,23,23,23,19,19,19,19,19,13,13,13,13,13,9,9,9,9,9,6,6,6,5,5,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"BR00032","Hampden",142,"Dunedin","Otago",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00033","Hastings",4156,"Hastings","Hawkes.Bay",93,104,91,98,87,100,93,100,85,104,100,95,86,73,74,74,74,60,64,64,65,65,63,63,63,64,64,67,67,67,67,67,71,71,71,71,71,65,66,66,65,65,49,49,49,49,49,39,39,39,39,39,29,29,29,29,29,25,25,26,26,26,20,20,20,20,20,12,13,13,13,13,10,10,10,10,10,6,6,5,5,5,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"BR00034","Hawera",1909,"NewPlymouth","Taranaki",43,40,39,36,41,41,43,37,40,42,39,44,47,36,36,36,36,32,31,31,32,32,29,29,29,29,29,28,28,28,28,28,30,30,30,30,30,29,29,29,29,29,22,22,23,22,22,20,20,20,20,20,14,14,14,14,14,12,12,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00035","Hokitika",1057,"GreyValley","Westland",27,25,26,25,25,28,26,28,27,26,27,22,24,19,19,19,19,15,14,14,14,14,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,17,17,17,17,17,14,14,14,14,14,9,9,9,9,9,6,6,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00036","Inglewood",536,"NewPlymouth","Taranaki",12,11,11,10,12,12,12,11,11,12,11,13,13,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BR00037","Invercargill",6905,"Invercargill","Southland",156,154,158,152,158,161,153,148,153,149,144,142,137,132,132,132,132,130,115,116,116,116,105,105,105,106,106,107,107,107,108,108,108,109,109,109,109,101,101,101,101,101,78,78,78,78,78,67,68,68,67,67,52,52,52,52,52,42,42,42,42,42,37,38,38,38,38,24,24,24,24,24,18,18,18,19,19,13,13,13,12,12,5,5,4,4,4,4,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
