geo_unit,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
CT00001,22,21,21,22,22,20,20,20,19,19,17,16,16,16,16,16,16,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00002,12,13,12,12,12,12,12,11,10,11,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,6,6,6,6,6,4,4,4,5,5,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00003,20,19,19,19,19,18,17,18,17,17,15,14,14,14,14,14,14,13,12,12,12,12,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,11,11,11,11,11,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00004,139,134,133,137,137,126,123,125,119,118,110,102,99,99,99,99,99,92,88,88,88,88,86,86,86,86,86,89,90,90,90,90,88,89,89,89,89,79,80,80,80,80,63,64,64,64,64,52,52,52,52,52,36,36,36,36,36,30,30,30,30,30,25,25,25,25,25,17,17,17,17,17,13,13,14,14,14,8,8,8,8,8,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CT00005,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00006,6,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00007,18,18,16,17,17,17,16,16,14,14,14,13,12,12,12,12,12,10,11,11,11,11,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,10,10,10,10,10,7,7,7,7,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00008,47,48,46,49,45,46,44,41,40,39,38,36,35,33,33,33,33,32,30,30,30,30,29,28,28,28,28,30,30,30,30,30,30,31,31,31,31,27,28,28,28,28,21,21,21,21,21,17,17,17,17,17,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00009,51,51,51,48,54,50,49,50,47,48,47,45,44,40,40,40,40,37,33,33,33,33,32,32,32,32,32,32,32,32,32,32,35,35,35,35,35,33,33,33,33,33,28,28,28,28,28,24,24,24,24,24,17,17,17,17,17,13,13,13,14,14,12,12,12,12,12,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CT00010,50,56,50,52,62,52,52,48,62,48,49,49,40,36,36,36,36,39,38,38,38,38,30,30,30,31,31,37,37,37,37,37,37,37,37,37,37,39,39,39,39,39,33,33,33,33,33,24,24,24,24,24,17,17,17,17,17,12,12,12,12,12,12,12,12,12,12,8,8,8,8,8,11,12,12,12,12,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0
CT00011,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00012,14,13,13,13,13,12,12,12,12,12,11,10,10,10,10,10,10,9,9,9,9,9,9,8,8,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00013,25,26,25,23,25,23,23,23,22,21,20,18,19,18,18,18,18,17,16,16,16,16,15,14,14,15,15,15,15,15,15,15,14,15,15,15,15,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00014,77,77,77,72,81,76,74,76,71,73,71,68,67,61,61,61,61,56,51,50,51,51,48,48,48,48,48,48,48,49,49,49,52,53,53,53,53,50,51,51,51,51,43,43,43,43,43,36,36,36,36,36,25,25,25,25,25,20,20,20,21,21,18,18,18,18,18,13,13,13,13,13,10,10,10,10,10,7,7,7,7,7,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CT00015,10,11,11,11,11,12,10,11,10,10,9,9,8,8,8,8,8,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,8,8,8,8,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00016,81,78,79,71,67,70,63,62,58,70,54,41,52,58,58,58,58,52,48,48,48,48,51,51,51,51,51,49,49,49,49,49,50,50,50,50,50,46,46,46,45,45,32,32,32,32,32,31,31,31,31,31,22,22,22,22,22,16,16,16,16,16,13,13,13,13,13,10,10,10,10,10,8,8,8,8,8,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CT00017,25,25,24,26,24,24,23,22,21,21,20,19,18,17,17,17,17,17,16,16,16,16,15,15,15,15,15,16,16,16,16,16,16,16,16,16,16,14,14,15,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00018,56,58,55,55,53,52,52,51,46,49,45,41,40,40,40,40,40,39,37,36,36,36,35,35,35,35,35,37,37,37,37,37,37,37,37,37,37,34,34,34,34,34,26,26,26,26,26,20,20,20,20,20,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00019,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00020,185,186,177,189,176,179,170,161,154,153,148,139,136,127,127,128,128,126,116,115,116,116,112,110,109,110,110,115,117,117,117,117,118,120,120,120,120,105,107,107,107,107,82,83,83,83,83,65,66,66,66,66,46,46,46,46,46,35,35,35,36,36,25,26,26,26,26,16,17,17,17,17,12,12,13,13,13,8,8,8,7,7,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CT00021,40,42,39,38,39,37,37,36,35,34,32,30,30,29,29,29,29,27,26,25,25,25,23,23,23,23,23,24,25,25,25,25,23,23,24,24,24,20,20,20,20,20,16,16,16,16,16,12,12,12,12,12,8,8,8,8,8,6,7,7,7,7,5,5,5,5,5,3,3,4,4,4,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00022,24,24,23,23,22,22,22,21,20,21,19,17,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,16,16,14,14,14,14,14,11,11,11,11,11,8,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00023,45,44,43,44,44,41,40,41,39,39,36,33,32,32,32,32,32,30,29,29,29,29,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,26,26,26,26,26,21,21,21,21,21,17,17,17,17,17,12,12,12,12,12,10,10,10,10,10,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00024,44,46,43,41,43,41,40,40,38,37,35,32,33,32,32,32,32,29,28,28,28,28,26,25,25,25,25,27,27,27,27,27,25,26,26,26,26,22,22,22,22,22,17,17,17,17,17,13,13,13,13,13,9,9,9,9,9,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00025,24,23,23,23,23,22,21,21,20,20,19,18,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00026,38,39,37,37,36,35,35,34,32,33,31,28,27,27,27,27,27,26,25,25,25,25,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,23,23,23,23,23,18,18,18,18,18,14,14,14,14,14,10,10,10,10,10,7,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00028,112,113,107,114,107,108,103,97,93,93,89,84,82,77,77,77,77,76,70,70,70,70,68,67,66,67,67,70,71,71,71,71,71,72,73,73,73,64,65,65,65,65,50,50,50,50,50,39,40,40,40,40,28,28,28,28,28,21,21,21,22,22,15,16,16,16,16,10,10,10,10,10,7,7,8,8,8,5,5,5,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CT00029,70,68,67,69,69,64,62,63,60,60,56,52,50,50,50,50,50,46,45,45,45,45,44,44,44,44,44,45,45,45,45,45,45,45,45,45,45,40,40,40,40,40,32,32,32,32,32,26,26,27,27,27,18,18,18,18,18,15,15,15,15,15,12,13,13,13,13,9,9,9,9,9,7,7,7,7,7,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
CT00030,48,54,48,50,60,50,51,46,60,47,47,47,39,35,35,35,35,38,37,37,37,37,29,29,29,29,29,36,36,36,36,36,35,35,35,35,35,38,38,38,38,38,32,32,32,32,32,23,23,23,23,23,16,16,16,16,16,11,11,11,11,11,12,12,12,12,12,8,8,8,8,8,11,11,11,11,11,9,9,9,9,9,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0
CT00031,23,23,22,23,23,21,21,21,20,20,18,17,17,17,17,17,17,15,15,15,15,15,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,13,13,13,13,13,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00032,39,40,38,40,38,38,36,34,33,33,32,30,29,27,27,27,27,27,25,25,25,25,24,24,23,24,24,25,25,25,25,25,25,26,26,26,26,23,23,23,23,23,18,18,18,18,18,14,14,14,14,14,10,10,10,10,10,7,8,8,8,8,5,6,6,6,6,3,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00033,66,69,65,62,65,61,61,60,57,57,54,49,50,48,48,48,48,44,42,42,42,42,39,38,38,38,38,40,41,41,41,41,38,39,39,39,39,33,34,34,34,34,26,26,26,26,26,19,19,19,19,19,13,13,13,13,13,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00034,149,143,146,129,124,128,115,114,107,128,99,76,96,106,106,106,106,95,88,88,88,88,94,94,94,94,94,89,89,89,89,89,91,91,91,91,91,83,84,84,83,83,59,59,59,59,59,57,57,57,57,57,41,41,41,41,41,29,30,30,30,30,24,24,24,24,24,19,19,19,19,19,15,15,15,15,15,7,7,7,7,7,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CT00035,56,54,54,55,55,51,50,51,48,48,45,42,40,40,40,40,40,37,36,36,36,36,35,35,35,35,35,36,36,36,36,36,36,36,36,36,36,32,32,32,32,32,26,26,26,26,26,21,21,21,21,21,14,14,14,14,14,12,12,12,12,12,10,10,10,10,10,7,7,7,7,7,5,5,5,6,6,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00036,53,54,51,55,51,52,49,46,44,44,43,40,39,37,37,37,37,36,34,33,33,33,32,32,32,32,32,33,34,34,34,34,34,34,35,35,35,30,31,31,31,31,24,24,24,24,24,19,19,19,19,19,13,13,13,13,13,10,10,10,10,10,7,7,7,8,8,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00037,31,31,30,32,30,30,29,27,26,26,25,23,23,21,22,22,22,21,20,19,20,20,19,19,18,19,19,19,20,20,20,20,20,20,20,20,20,18,18,18,18,18,14,14,14,14,14,11,11,11,11,11,8,8,8,8,8,6,6,6,6,6,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00038,67,68,65,65,62,62,62,60,55,58,53,49,48,47,47,47,47,46,43,43,43,43,42,41,41,41,41,44,44,44,44,44,44,44,44,44,44,40,41,41,41,41,31,31,31,31,31,24,24,24,24,24,18,18,18,18,18,13,13,13,13,13,10,11,11,11,11,7,7,8,8,8,5,5,5,5,5,3,3,3,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00039,81,83,79,79,76,75,75,73,67,70,65,59,58,57,57,57,57,56,52,52,52,52,50,50,50,50,50,53,53,53,53,53,53,53,54,54,54,49,49,49,49,49,37,37,37,37,37,29,29,29,29,29,21,22,22,21,21,16,16,16,16,16,13,13,13,13,13,9,9,9,9,9,6,6,6,6,6,4,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00040,32,36,32,33,40,33,33,31,39,31,31,31,25,23,23,23,23,25,24,24,24,24,19,19,19,19,19,24,24,24,24,24,23,23,23,23,23,25,25,25,25,25,21,21,21,21,21,15,15,15,15,15,11,11,11,11,11,7,7,7,7,7,8,8,8,8,8,5,5,5,5,5,7,7,7,7,7,6,6,6,6,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
CT00041,41,43,40,38,40,38,38,37,35,35,33,30,31,29,29,30,30,27,26,26,26,26,24,24,24,24,24,25,25,25,25,25,24,24,24,24,24,20,21,21,21,21,16,16,16,16,16,12,12,12,12,12,8,8,8,8,8,7,7,7,7,7,5,5,5,5,5,3,4,4,4,4,2,2,2,3,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00042,24,23,23,24,24,22,21,22,21,21,19,18,17,17,17,17,17,16,15,15,15,15,15,15,15,15,15,15,16,16,16,16,15,15,15,15,15,14,14,14,14,14,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00043,57,58,56,56,53,53,53,51,47,50,46,42,41,40,40,41,41,39,37,37,37,37,36,35,35,35,35,37,38,38,38,38,37,38,38,38,38,34,35,35,35,35,26,26,26,26,26,20,21,21,21,21,15,15,15,15,15,11,11,11,11,11,9,9,9,9,9,6,6,6,6,6,4,4,4,4,4,3,3,3,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CT00044,33,34,32,31,32,30,30,30,28,28,26,24,25,24,24,24,24,22,21,21,21,21,19,19,19,19,19,20,20,20,20,20,19,19,19,19,19,16,17,17,17,17,13,13,13,13,13,9,10,10,10,10,7,7,7,7,7,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
