Name,Province,latitude,longitude
Devonport,Auckland,-36.831667,174.796278
Dunedin,Otago,-45.87416,170.50361
Eastbourne,Wellington,-41.3,174.9
Eketahuna,Wellington,-40.647,175.704
Eltham,Taranaki,-39.42972,174.29917
Featherston,Wellington,-41.117,175.317
Feilding,Wellington,-40.216667,175.566667
Foxton,Wellington,-40.47167,175.28583
Geraldine,Canterbury,-44.09028,171.24333
Gisborne,Hawkes.Bay,-38.6625,178.017778
Gore,Southland,-46.09917,168.94639
Green Island,Otago,-45.90278,170.43056
Greymouth,Westland,-42.45,171.2075
Greytown,Wellington,-41.08,175.461
Hamilton,Auckland,-37.783,175.283
Hampden,Otago,-45.32778,170.81667
Hastings,Hawkes.Bay,-39.6381,176.84918
Hawera,Taranaki,-39.59167,174.28333
Hokitika,Westland,-42.71667,170.96667
Inglewood,Taranaki,-39.15824,174.1802
Invercargill,Southland,-46.4132,168.3538
Invercargill South,Southland,-46.425,168.35
Kaiapoi,Canterbury,-43.37832,172.64013
Kaitangata,Otago,-46.275,169.85
Kumara,Westland,-42.63111,171.18694
Lawrence,Otago,-45.913,169.689
Levin,Wellington,-40.63333,175.275
Lower Hutt,Wellington,-41.21667,174.91667
Lyttelton,Canterbury,-43.526945,172.632377
Marton,Wellington,-40.06917,175.37833
Masterton,Wellington,-40.95972,175.6575
Mataura,Southland,-46.183,168.867
Milton,Otago,-46.12083,169.96944
Morrinsville,Auckland,-37.65,175.517
Mosgiel,Otago,-45.875,170.347
Motueka,Nelson,-41.12333,173.01472
Mount Albert,Auckland,-36.884,174.716
Mount Eden,Auckland,-36.88158,174.76204
Napier,Hawkes.Bay,-39.4926,176.91233
Naseby,Otago,-45.016667,170.133333
Nelson,Nelson,-41.27078,173.28404
New Brighton,Canterbury,-43.50962726,172.7303742
New Plymouth,Taranaki,-39.055626,174.075226
Newmarket,Auckland,-36.869862,174.777578
Ngaruawahia,Auckland,-37.66738,175.15554
Northcote,Auckland,-36.805,174.744
Oamaru,Otago,-45.09746,170.96911
Ohakune,Taranaki,-39.41861,175.39944
Onehunga,Auckland,-36.9223,174.7838
Opotiki,Hawkes.Bay,-38.00915,177.28706
Otahuhu,Auckland,-36.9382,174.84019
Otaki,Wellington,-40.75833,175.15
Paeroa,Auckland,-37.36667,175.66667
Pahiatua,Wellington,-40.45333,175.84083
Palmerston,Wellington,-45.484026,170.715265
Palmerston North,Wellington,-40.35636,175.61113
Patea,Taranaki,-39.75722,174.47667
Petone,Wellington,-41.22166578,174.8734632
Picton,Marlborough,-41.29067,174.00801
Port Chalmers,Otago,-45.8178,170.6188
Pukekohe,Auckland,-37.2,174.95
Queenstown,Otago,-45.03023,168.66271
Rangiora,Canterbury,-43.30437,172.58356
Riccarton,Canterbury,-43.52998,172.59744
Richmond,Nelson,-41.3333,173.183
Riverton,Southland,-46.35,168.01667
Ross,Westland,-42.89583,170.81417
Rotorua,Auckland,-38.13874,176.24516
Roxburgh,Otago,-45.53905,169.3123
Runanga,Westland,-42.4020632,171.2465516
Shannon,Wellington,-40.5472,175.4107
St. Kilda,Otago,-45.9048,170.5009
Stratford,Taranaki,-39.33708,174.28382
