id,name
58320,Kā Poupou-a-Rakihouia
60402,Kā Poupou-a-Te-Rakihouia
58660,Kā Pukehore
60305,Kā Pukemāeroero
58824,Kā Puketai
59768,Kā Pūtahi
61238,Kapūterangi
24594,Karakatūwhero River
24606,Karamū
2393,Karamū Stream
58179,Karanga Tūī
58860,Kā Rā-o-Takitimu
60550,Karāpiro
14524,Kāretu Seavalleys
2400,Kārewa / Gannet Island
55579,Kārewarewa
61505,Karihipōtae
60403,Karitāne
14211,Karitāne Canyon
14212,Karitāne Channel
24694,Karitūwhenua Stream
60307,Karu-hāpuku
58830,Katiapā
57855,Kāti Hāwea
2416,Kātiki
58139,Kātiki Beach
2417,Kātiki Point
55440,Kātiki Point Historic Reserve
8241,Kātiki Point Wildlife Management Reserve
2418,Kātiki Railway Station
24734,Katipō Creek
57841,Kāti Wairaki
61087,Kā Tū-waewae-o-Tū
24748,Kauaeparāoa Stream / Te Paki Stream
2421,Kaumātua Ridge
54931,Kauri Point Birkenhead / Te Mātā-rae-o-Mana
2424,Kauri Point Pōnui
24800,Kauritūtahi Creek
24801,Kauritūtahi Island
24820,Kāwaimanga Stream
24847,Kawatī Point
24854,Kawau Pārua Inlet
55231,Kawehītiki Point
60360,Kā Whata-Tū-o-Rakihouia
24875,Kawhātau River
8262,Kawhātau Scenic Reserve
59222,Kāwhia Bay
2443,Kāwhia Harbour
14213,Kekerengū Bank
61767,Kerepēhi
24963,Kererū
24966,Kererūhuahua
24967,Kererūrukaipō
55036,Kererūtahi Forest
24969,Keretū
25024,Kihitū Pā
60888,Kimiākau
25227,Kōaro Stream
25228,Kōau Stream
25236,Kōhaihai Bluff
25237,Kōhaihai River
25235,Kōhai Stream
58623,Kōhaka Takahea
58662,Kōhakaweka
55587,Kōhaonui
59145,Kōhatu
55706,Kōhatupapā / Ranfurly Bay
25244,Kōhatu Point
25254,Kōheke
25255,Kōheke Stream
25262,Kōherurahi Point
25263,Kohetetū Stream
58033,Kōhinerākau
58032,Kohinurākau
25277,Kohinurākau Range
25265,Kōhī Point
8299,Kōhī Point Scenic Reserve
25293,Kohunui Māori Settlement
25294,Kohupātiki
25302,Kōhuru Creek
25315,Kōkako
25322,Kōkakonui Stream
25319,Kōkako Stream
60920,Kōkakotaea
25326,Kōkakowhāia Stream
25330,Kokipō
25333,Kōkōariki
25348,Kōkopu Creek
59992,Kōkopunui
25355,Kōkōreke Stream
60295,Kōkōtane
25357,Kōkota / The Sandspit
58465,Kōkōwai Stream
25360,Kōkōwhai Bay / Turners Bay
7220,Kōmarupeka Creek
25375,Kōmataoneone
61086,Ko-mate-kōhuru
25393,Kōnini
25401,Kōpae Stream
25409,Kōpakiraho Stream
2550,Kōpeka Island
60970,Kōpū
25431,Kōpua
25433,Kōpua
25430,Kōpua
57365,Kōpuanui
25438,Kōpuapounamu River
25439,Kōpuapounamu Stream
25441,Kōpuaranga
25442,Kōpuaranga River
25443,Kōpuaroa
25444,Kōpuaroa Pā
25446,Kōpuaroa Stream
25445,Kōpuaroa Stream
25449,Kōpuawhara Disaster 1938
25450,Kōpuawhara Stream
25456,Kōpukanui
25462,Kōpuni Stream
25461,Kōpuni Stream
60410,Kōpūtai
25474,Kōpūwaiū Stream
25510,Korongatā Stream
60967,Kororāreka
2568,Kororāreka Bay
25519,Kororāreka Point
8318,Kororāreka Point Scenic Reserve
25531,Kōtaipapa Point
25537,Kōtare Range
25558,Kotipū Stream
25559,Kōtiro Point
25563,Kōtoitoi Bay
25568,Kōtorengaru Stream
25567,Kōtore Stream
58652,Kōtuku
25576,Kōtuku Point
8324,Kōtuku Point Scenic Reserve
25578,Kōtukutuku
58688,Kōtukutuku
54907,Kōtukutuku Bay
7347,Kōtukutuku Bay
25579,Kōtukutuku Inlet
54908,Kōtukutuku Stream
25582,Kōtukutuku Stream
60144,Kōtukuwhakaoka
60145,Kōtukuwhakaoka
58799,Kōura
25596,Kōurarau Dam
25597,Kōurarau Stream
25603,Kōurawhero Stream
54953,Kōwai Forest
8328,Kōwai River Government Purpose Reserve
25614,Kōwaro Stream
60594,Kōwhai
25617,Kōwhai Beach
25621,Kōwhai Creek
55705,Kōwhairoa Peninsula
14544,Kōwhai Seavalleys
25629,Kōwhai Stream
57775,Kōwhaiwhai
25646,Kūaotunu
25647,Kūaotunu Beach
8333,Kūaotunu Domain Recreation Reserve
25648,Kūaotunu River
2595,Kūaotunu West
7348,Kūhārua Point
59753,Kūmara Hill
25673,Kumeū
25674,Kumeū River
60475,Kuramātakitaki
55406,Kura Tāwhiti Scenic Reserve
57151,Kurī
14547,Kurī Banks
25697,Kurī Creek
25714,Kurukōhatu Point
58713,Kutupārera
7293,Lake Alabaster/Wāwāhi Waka
7531,Lake Āniwaniwa
25789,Lake Ātiamuri
2671,Lake Hāwea
2672,Lake Hāwea
8365,Lake Hāwea–Western Shore Recreation Reserve
25941,Lake Keretā
8374,Lake Māhinapua Recreation Reserve
8375,Lake Māhinapua Scenic Reserve
26028,Lake Mōkeno
26042,Lake Ngākaru
55604,Lake Ngākeketo Recreation Reserve
26045,Lake Ngānoke
26060,Lake Ōhau
26063,Lake Ōkaihau
7385,Lake Ōkareka
8382,Lake Ōkareka Scenic Reserve
7386,Lake Ōkataina/Te Moana i kataina ā Te Rangitakaroro
26070,Lake Ōmāpere
26071,Lake Ōmāpere
55639,Lake Ōnoke
26085,Lake Ōwhareiti
26122,Lake Rāhui
7430,Lake Rotoiti/Te Roto kite ā Ihenga i ariki ai Kahu
26146,Lake Rotokākahi / Green Lake
7431,Lake Rotomā
8394,Lake Rotomā Scenic Reserve
7433,Lake Rotorua/Te Rotorua nui ā Kahumatamomoe
26230,Lake Taupō / Taupōmoana
26234,Lake Te Hāpua
54441,Lake Te Kōhua
54506,Lake Te Pōhue
26249,Lake Tīmara
54507,Lake Tūtira
26274,Lake Waikōpiro
26293,Lake Wānaka
58030,Lake Whatumā
26667,Little Ōmaha Bay
54712,Little Ōnahau River
7353,Lords River/Tūtaekawetoweto
26943,Lower Kawhātau
14565,Lower Paritū Basin
7354,Lyttelton Harbour/Whakaraupō
27111,Māeneene Creek
27112,Māeneene Stream
56598,Māhaka Ponds
27138,Māhanga
27139,Māhanga Bay
27140,Māhanga Beach
27141,Māhanga Creek
27143,Māhanga Stream
27142,Māhanga Stream
59147,Māharakeke
27150,Māharakeke Stream
60239,Māhēipuku
27153,Māheipuku Point
58647,Mahenokōhiku
27165,Māhia
27166,Māhia Beach
59096,Māhia Canyon
27167,Māhia Peninsula
54434,Māhia Seamount
54504,Māhina-a-rangi Stream
27170,Māhina Bay
27171,Māhina Bay
14576,Māhina Knoll
8485,Māhinapua Creek Rail Bridge Historic Reserve
7357,Mahināpua Creek/Tūwharewhare
61533,Māhoenui
58489,Māhoenui
58377,Māhoenui
27184,Māhoenui Stream
27181,Māhoe Stream
27194,Māhuehue Point
27199,Māhungarape Island / Round Island
60147,Mahu-tōrea
27275,Mākahakaha Creek
27276,Mākahakaha Ngārara Stream
3023,Mākahakaha Stream
27277,Mākahakaha Stream
58908,Mākahakaha Stream
27278,Mākahakaha Stream
3026,Mākahikātoa Stream
27296,Mākahikātoa Stream
3027,Mākahikātoa Stream
27294,Mākahikātoa Stream
27295,Mākahikātoa Stream
27280,Mākahi Stream
27308,Mākākahi River
27315,Mākākāriki Stream
27319,Mākapua Stream
27320,Mākara
27321,Mākara
27322,Mākara Beach
27323,Mākara Hill
27337,Mākaraka
27339,Mākaraka Stream
8502,Mākaramea Scenic Reserve
27342,Mākaramea Stream
27343,Mākarangū Stream
13894,Mākara River
27324,Mākara River
8501,Mākara Scenic Reserve
27332,Mākara Stream
27329,Mākara Stream
27325,Mākara Stream
27331,Mākara Stream
27326,Mākara Stream
27333,Mākara Stream
27330,Mākara Stream
27335,Mākara Stream
27327,Mākara Stream
27328,Mākara Stream
27334,Mākara Stream
27349,Mākareao
27350,Mākareao Stream
27351,Mākāretu
27358,Mākāreturetu Stream
27353,Mākāretu River
32783,Mākāretu River North Branch
8503,Makaretū Scenic Reserve
27354,Mākāretu Stream
55861,Makaretū Stream
27357,Makaretū Stream
27364,Mākarika Stream
27362,Mākari Stream
27369,Mākaroro River
7199,Mākaro / Ward Island
3037,Makatī
27381,Mākawakawa Stream
27380,Mākawakawa Stream
57366,Maketū
27394,Mākiekie / Coal Creek
54957,Mākino Forest
27401,Mākino River
27413,Mākiore Stream
27414,Mākiri
27415,Mākirikiri
27424,Mākirikiri Stream
27422,Mākirikiri Stream
27421,Mākirikiri Stream
32784,Mākirikiri Stream North Branch
40269,Mākirikiri Stream South Branch
27434,Mākōkako Stream
27446,Makōkōmuka Stream
58911,Mākōkōmuka Stream
3044,Mākōkōmuka Stream
3043,Mākōkōmuka Stream
27443,Mākōkōmuka Stream
27445,Mākōkōmuka Stream
27462,Mākorokoro Stream
27470,Mākōtukutuku Stream
27471,Mākōtukutuku Stream / Washpool Creek
27477,Mākōwhai Stream
27517,Māminga
58832,Manapōuri
58617,Manawahē
3067,Manawatāwhi / Great Island
3068,Manawatāwhi / Three Kings Islands
27566,Manawatū Gorge
8529,Manawatū Gorge Scenic Reserve
8530,Manawatū Recreation Reserve
27567,Manawatū River
8531,Manawatū Scenic Reserve
58038,Manawatū-Whanganui Region
27618,Mangahārei Stream
27642,Mangahinātore Stream
27657,Mangahōpai Stream
27668,Mangahoukū Stream
55039,Mangakāhia Forest
27709,Mangakāhia River
8537,Mangakāhia River Scenic Reserve
7530,Mangakōkakotaea Stream
27794,Mangakōpikopiko Stream
54508,Mangakōpikopiko Stream
27793,Mangakōpikopiko Stream
27809,Mangakōtukutuku Stream
27810,Mangakōtukutuku Stream
27811,Mangakōtukutuku Stream
27820,Mangakūkū Stream
27826,Mangakurī Beach
27827,Mangakurī River
27828,Mangakurī Stream
27834,Mangamāhaki Stream
27845,Mangamāia Stream
27877,Mangamātukutuku Stream
27886,Mangamāunu
27888,Mangamāunu Stream
27910,Mangamōteo Stream
55860,Mangamōteo Stream
3097,Mangangārara Stream
27934,Mangangārara Stream
27930,Mangangārara Stream
27931,Mangangārara Stream
27936,Manganīkau Stream
28028,Mangaongāwāhine Stream
28065,Mangaotāne Stream
28064,Mangaotāne Stream
28170,Mangapōhue Stream
28173,Mangapōike River
28186,Mangapōuri Stream
28188,Mangapōuri Stream
28185,Mangapōuri Stream
55888,Mangapōuri Stream
28205,Mangapūrākau Stream
55463,Mangapū Stream
28218,Mangapūwerawera Stream
28223,Mangarākai Stream
28224,Mangarākau
28225,Mangarākau Stream
28226,Mangarākau Stream
28227,Mangarākeke Stream
28310,Mangatāhae Stream
61669,Mangatārera o Te Whakatūrākau
54579,Mangatāwhai
61661,Mangatāwhiri
28383,Mangatāwhiri
28384,Mangatāwhiri Crossing
55041,Mangatāwhiri Forest
28385,Mangatāwhiri River
28446,Mangatītī Stream
28445,Mangatītī Stream
28494,Mangatōtara Stream
55042,Mangatū Forest
28518,Mangatūpae Stream
28519,Mangatūpō Stream
28522,Mangatūranga Stream
28498,Mangatū River
28500,Mangatū Stream
28504,Mangatū Stream
28527,Mangatūtaekurī
28526,Mangatūtae Stream
28616,Māngere
28617,Māngere Bridge
28618,Māngere East
28619,Māngere Falls
3167,Māngere Inlet
59305,Māngere Lagoon
28620,Māngere River
28621,Māngere Stream
28629,Mangōnui
8590,Mangōnui Courthouse Historic Reserve
8591,Mangōnui Domain Recreation Reserve
54958,Mangōnui Forest
3169,Mangōnui Harbour
8592,Mangōnui Recreation Reserve
58461,Mangōraukawa / Lake Dive
28639,Mangōwhata Stream
60630,Māniatoto
61072,Manokīwai
28659,Man-o-War Bay / Pāharakeke
58681,Mānuka
56411,Mānuka
28683,Mānuka Hill
28692,Mānuka Stream
54413,Mānunutahi Bay
7362,Manupīrua Bay
54926,Mānutewhau Creek
28721,Manutūkē
28726,Māori Bay
28728,Māori Channel
28737,Māori Garden Bay
28748,Māori Gully
28749,Māori Gully
28750,Māori Gully
28746,Māori Gully
28761,Māori Pā Beach
28766,Māori Point
28762,Māori Point
28765,Māori Point
28769,Māori Rock
3203,Māori Rocks
28772,Māori Stream
28773,Māori Stream
58490,Māpiu
61544,Māpiupiu
59810,Māpouriki
60117,Māpouriki
60781,Māpoutahi
28787,Māpua
8609,Māpua Recreation Reserve
28794,Maraekākaho
28795,Maraekākaho River
8610,Maraetōtara Gorge Scenic Reserve
28820,Maraetōtara River
8611,Maraetōtara Scenic Reserve
28823,Mārahau
28824,Mārahau River
28831,Marama Tāwhaua
28848,Mārau
28849,Mārau Beach
55045,Mareretū Forest
55726,Mārima
28895,Māriri
28957,Martello Rock / Ruakōura
29069,Mātaikōkako
7363,Mātaikōtare
58080,Mātaitai Bay
54961,Mātaitai Forest
58078,Mātaitai Point
58081,Mātaitai Scenic Reserve
3279,Matakā
29102,Mātaki Stream
29106,Mātakitaki
57815,Mātakitaki
8633,Mātakitaki Bridge Scenic Reserve
29107,Mātakitaki River
29108,Mātakitaki River East Branch
47716,Mātakitaki River West Branch
29145,Mātaotao Stream
3293,Mātāpia
29156,Matapū Stream
29160,Matarāhui Bay
29183,Matatā
8645,Matatā Recreation Reserve
8646,Matatā Scenic Reserve
8648,Matatā Wildlife Refuge Reserve
60792,Mataūira
59517,Mātāwai
29215,Mātāwai
29218,Mātāwai Stream
61884,Matawhā Seamount 
61206,Mate ā-ongaonga
29265,Mātiatia Bay
29267,Mātiere Point
29286,Mātoitoi Stream
29287,Mātokitoki Stream
54539,Matukutūreia / McLaughlins Mountain
54552,Matukutūruru
61084,Mauīkatau
60405,Maukakūkuta
60406,Maukakūkuta
61245,Maunga-a-Kāhia
29332,Maungahīha
61419,Maunga Hirakimatā
54771,Maunga Kākaramea
60038,Maunga Kākaramea Scenic Reserve
8665,Maungakōtukutuku Scenic Reserve
29347,Maungakōtukutuku Stream
29379,Maungapōhatu
60018,Maungatūtū
29442,Maunupōhatu Stream
29458,Mautōtara Stream
29461,Māwhai Point
60110,Māwhera
29487,Mayor Island / Tūhua
8688,Meremere Pā Historic Reserve
58751,Moanapākura
30007,Moana Pūtakitaki Lagoon
58417,Moana-whenua-pōuri / Edwardson Sound
56600,Moawhango Névé
30073,Mōhaka
30074,Mōhaka
55053,Mōhaka Forest
30075,Mōhaka River
30076,Mōhakatino
30077,Mōhakatino River
30079,Mōhau Stream
30093,Mōioio Island
30103,Mōkau
58487,Mōkau
3515,Mōkau Bay
30105,Mōkau Bay
30106,Mōkau Falls
30107,Mōkau Inlet
58493,Mōkauiti
58494,Mōkauiti Stream
30109,Mōkau Pā
58488,Mōkau River
30112,Mōkau Stream
30113,Mōkau Stream
30111,Mōkau Stream
54884,Mōkihinui Forest
8728,Mōkihinui Recreation Reserve
30127,Mōkihinui River
30128,Mōkihinui River North Branch
30129,Mōkihinui River South Branch
54701,Mokohīnau Canyon
62044,Mokohīnau Islands High Protection Area
62035,Mokohīnau Islands Seafloor Protection Area
14214,Mokohīnau Knoll
30137,Mokomokomā Stream
30153,Mokotā Stream
30179,Mōmonanui Stream
30177,Mōmona Point
30259,Mōpānui
30268,Mōrere
3556,Mōrere Gully
30269,Mōrere Hill
8741,Mōrere Recreation Reserve
30270,Mōrere Stream
30342,Mōtītī Island
14626,Mōtītī Scarp
30347,Mōtū
30348,Mōtū Falls
30420,Motukēhua Island / Nops Island
3597,Motukōkako Island / Piercy Island
30436,Motukōrea Channel
30438,Motukōrure Island / Centre Island
30450,Motumāhanga / Saddleback
54927,Motumānawa / Pollen Island
30479,Motungārara
30481,Motungārara Island
30482,Motungārara Island / Fishermans Island
54518,Motu-o-Rūrū
8772,Motupōhue Scenic Reserve
30355,Mōtū River
8752,Mōtū Scenic Reserve
54904,Motutāhae
30549,Motutāiko Island
30551,Motutākupu Island / Gannet Island
60924,Mōtūwairaka
56601,Mount Hāwea
56602,Mount Kōpere
31338,Mount Māhanga
8803,Mount Ngongotahā Scenic Reserve
3787,Mount Ōhakiri
56603,Mount Pūkākī
31827,Mount Tūtoko
54442,Mount Tūwhakarōria
7371,Mourā Bay
7372,Mourā Point
3862,Moutohorā Island
31945,Moutōtara Stream
10562,Mūmū Nunatak
32038,Muriwai Pā
32109,Nākahi Stream
32118,Nanī Island
55207,Ngā Atua Tātā / Kerr Point
61627,Ngā Awapūrua
32282,Ngāhape
32284,Ngāhape Stream
7374,Ngāhauā Bay
32290,Ngāheni Ridge
7375,Ngāheretā Bay
3983,Ngāhinapōuri
32295,Ngāhinapōuri Island
57377,Ngā Hore
56454,Ngā Huinga
32307,Ngāihihiopoanga
60067,Ngā Kai-hīnaki-a-Whata
10130,Ngākawau Ecological Area
8846,Ngākawau–Hector Recreation Reserve
32333,Ngākawau River
8845,Ngākawau Scenic Reserve
32334,Ngākawekaiti
3971,Ngā Kiore / Jag Rocks
60562,Ngākōroa Railway Station
61659,Ngā Kurī-a-Whārei
32356,Ngākuta Bay
32355,Ngākuta Bay
32357,Ngākuta Bay
8847,Ngākuta Bay Recreation Reserve
8848,Ngākuta Bay Scenic Reserve
32358,Ngākutu Point
32361,Ngāmāhanga Stream
32364,Ngāmahau Bay
61978,Ngā Māipi-e-Waru-a-Kupe
32369,Ngāmangatawa Stream
60096,Ngā Mātia
7377,Ngāmimiro Bay
54519,Ngāmoerangi
32378,Ngāmoko
54967,Ngāmoko Forest
32382,Ngāmoko Range
32384,Ngāmoko Stream
55870,Ngāmotu
58423,Ngāmotu
55057,Ngāmotu-a-te-Ahimaire Bush
32389,Ngāmotu Lagoon
3972,Ngā Motu / Sugar Loaf Islands
56642,Ngā Motu / Sugar Loaf Islands Conservation Park
55715,Ngā Motu / Sugar Loaf Islands Sanctuary
61725,Ngānui Point
60614,Ngā Pākihi-a-Māniarauhea
32405,Ngāpākira
61208,Ngā-pona-o-Tamatekapua
54761,Ngā Pona-toru-a-Peretū Scenic Reserve
32415,Ngāpōpōhia
32416,Ngāpōtiki
58034,Ngā Puha-ake-o-te-ora
7378,Ngāpuka Bay
32421,Ngāpuke Creek
32433,Ngāpuketūrua
61670,Ngā Rā-a-Kupe
32451,Ngārarahiwihiwi Stream
32454,Ngārarapapa Stream
55576,Ngā Rimutāmaka
7538,Ngāroto
58959,Ngā Roto-o-Rangataua Scenic Reserve
55583,Ngā Roto-o-Te-Kaponga Wetlands
32476,Ngārua Caves
61759,Ngāruawāhia
32480,Ngāruawāhia
61975,Ngāruawāhia Domain Recreation Reserve
55222,Ngārui-o-te-Marangai Beach
60979,Ngaruroro Moko-tū-ā-raro ki Rangatira
61474,Ngā Tai-i-whakatūria-e-Kupe-ki-te-marowhara
32503,Ngātapa
32504,Ngātapa
32505,Ngātapa Stream
32506,Ngātapa Stream
61489,Ngā-Taratara-o-Toi
59966,Ngā Tārua
32525,Ngātimana Stream
32526,Ngātīmoti
32533,Ngātohuahira
